as_of_date,security_id,stock_code_5d,official_security_name_en,official_issuer_name_en,profile,investability_status,factor_record_quality,confidence_grade,sleeve_id,sleeve_route,sleeve_rank,sleeve_population,sleeve_rank_percentile,sleeve_score,component_count,component_weight,component_score_json,avg_turnover_hkd_20d,return_20d,return_60d,return_120d,dividend_yield_365d,earnings_yield,roe,wvr_flag,h_share_flag,a_share_class_exists,dual_counter_flag,biotech_chapter18a_flag,secondary_listing_flag,corporate_action_count_365d
2026-07-21,HKEX:01530,01530,3SBIO,3SBio Inc.,GENERAL_NON_FINANCIAL,ELIGIBLE_CORE,VALID,A,QUALITY_COMPOUNDER,CORE,1,90,1.0,0.946600936259716,6,0.8,"{""earnings_yield"": {""percentile"": 0.9866666666666667, ""weight"": 0.15}, ""gross_margin"": {""percentile"": 0.9671532846715328, ""weight"": 0.1}, ""net_income_yoy"": {""percentile"": 0.9591280653950953, ""weight"": 0.15}, ""operating_margin"": {""percentile"": 0.9835766423357665, ""weight"": 0.15}, ""revenue_yoy"": {""percentile"": 0.9701492537313433, ""weight"": 0.15}, ""roa"": {""percentile"": 0.9905838041431262, ""weight"": 0.1}}",768535626.2275246,0.048192850796543896,-0.3116153664634851,-0.3253830420797763,0.015042117170646985,0.21119132507588365,,False,False,False,False,False,False,1
2026-07-21,HKEX:03918,03918,NAGACORP,NagaCorp Ltd.,GENERAL_NON_FINANCIAL,ELIGIBLE_CORE,VALID,A,QUALITY_COMPOUNDER,CORE,2,90,0.9888888888888889,0.8829245187055751,6,0.8,"{""earnings_yield"": {""percentile"": 0.9488888888888889, ""weight"": 0.15}, ""gross_margin"": {""percentile"": 0.9306569343065694, ""weight"": 0.1}, ""net_income_yoy"": {""percentile"": 0.9264305177111717, ""weight"": 0.15}, ""operating_margin"": {""percentile"": 0.9397810218978102, ""weight"": 0.15}, ""revenue_yoy"": {""percentile"": 0.8038379530916845, ""weight"": 0.15}, ""roa"": {""percentile"": 0.9227871939736346, ""weight"": 0.1}}",11296263.292003715,-0.0011532762490261694,-0.10054105222026899,-0.18378665310086684,0.04611898054376051,0.13958042039473878,,False,False,False,False,False,False,2
2026-07-21,HKEX:00966,00966,CHINA TAIPING,China Taiping Insurance Holdings Co. Ltd.,INSURANCE,ELIGIBLE_CORE,VALID,A,QUALITY_COMPOUNDER,CORE,3,90,0.9777777777777777,0.8747222222222221,4,0.6000000000000001,"{""earnings_yield"": {""percentile"": 1.0, ""weight"": 0.15}, ""net_income_yoy"": {""percentile"": 1.0, ""weight"": 0.15}, ""roa"": {""percentile"": 0.75, ""weight"": 0.1}, ""roe"": {""percentile"": 0.9166666666666666, ""weight"": 0.2}}",175974585.4293359,0.08089324432973055,0.019099888265021514,-0.05626210388283248,0.058404559885631535,0.31098045517955747,0.1642016815197801,False,False,False,False,False,False,1
2026-07-21,HKEX:09992,09992,POP MART,Pop Mart International Group Ltd.,GENERAL_NON_FINANCIAL,ELIGIBLE_CORE,VALID,A,QUALITY_COMPOUNDER,CORE,4,90,0.9666666666666667,0.8737609228406169,6,0.8,"{""earnings_yield"": {""percentile"": 0.6422222222222222, ""weight"": 0.15}, ""gross_margin"": {""percentile"": 0.8868613138686131, ""weight"": 0.1}, ""net_income_yoy"": {""percentile"": 0.9618528610354223, ""weight"": 0.15}, ""operating_margin"": {""percentile"": 0.9507299270072993, ""weight"": 0.15}, ""revenue_yoy"": {""percentile"": 0.9914712153518124, ""weight"": 0.15}, ""roa"": {""percentile"": 1.0, ""weight"": 0.1}}",2083588820.5479026,0.005000019073486239,0.02153106128659621,-0.17013547700919607,0.016945273310243345,0.05976368045780921,,False,False,False,False,False,False,1
2026-07-21,HKEX:09636,09636,JF SMARTINVEST,JF SmartInvest Holdings Ltd,GENERAL_NON_FINANCIAL,ELIGIBLE_CORE,VALID,A,QUALITY_COMPOUNDER,CORE,5,90,0.9555555555555556,0.8517555659826027,6,0.8,"{""earnings_yield"": {""percentile"": 0.6755555555555556, ""weight"": 0.15}, ""gross_margin"": {""percentile"": 0.9397810218978102, ""weight"": 0.1}, ""net_income_yoy"": {""percentile"": 0.9482288828337875, ""weight"": 0.15}, ""operating_margin"": {""percentile"": 0.8613138686131386, ""weight"": 0.15}, ""revenue_yoy"": {""percentile"": 0.9275053304904051, ""weight"": 0.15}, ""roa"": {""percentile"": 0.9661016949152542, ""weight"": 0.1}}",92918378.63473873,0.15071432931082596,0.05817959428564379,-0.44781285307327134,0.02700186117438683,0.06362507518102643,,False,False,False,False,False,False,2
2026-07-21,HKEX:02378,02378,PRU,Prudential plc,INSURANCE,ELIGIBLE_CORE,VALID,A,QUALITY_COMPOUNDER,CORE,6,90,0.9444444444444444,0.8414898989898988,4,0.6000000000000001,"{""earnings_yield"": {""percentile"": 0.8181818181818182, ""weight"": 0.15}, ""net_income_yoy"": {""percentile"": 0.8181818181818182, ""weight"": 0.15}, ""roa"": {""percentile"": 0.9166666666666666, ""weight"": 0.1}, ""roe"": {""percentile"": 1.0, ""weight"": 0.2}}",10582184.346648026,0.05086375438562074,-0.07594936708860756,-0.1059652610269276,0.018997589041095893,0.0989809095890411,0.18623595505617976,False,False,False,False,False,False,2
2026-07-21,HKEX:03698,03698,HUISHANG BANK,Huishang Bank Corporation Ltd.  - H Shares,BANK,ELIGIBLE_CORE,VALID,A,QUALITY_COMPOUNDER,CORE,7,90,0.9333333333333333,0.8367424242424242,4,0.6000000000000001,"{""earnings_yield"": {""percentile"": 1.0, ""weight"": 0.15}, ""net_income_yoy"": {""percentile"": 0.7727272727272727, ""weight"": 0.15}, ""roa"": {""percentile"": 0.8636363636363636, ""weight"": 0.1}, ""roe"": {""percentile"": 0.9090909090909091, ""weight"": 0.2}}",29405481.433659505,0.052478724531858534,0.031386967816453115,0.5690918063114967,0.059644811153794525,0.23651451439825574,0.09579680072796432,False,True,False,False,False,False,1
2026-07-21,HKEX:06181,06181,LAOPU GOLD,"Laopu Gold Co., Ltd.  - H Shares",GENERAL_NON_FINANCIAL,ELIGIBLE_CORE,VALID,A,QUALITY_COMPOUNDER,CORE,8,90,0.9222222222222223,0.8300446660381777,6,0.8,"{""earnings_yield"": {""percentile"": 0.7666666666666667, ""weight"": 0.15}, ""gross_margin"": {""percentile"": 0.5985401459854015, ""weight"": 0.1}, ""net_income_yoy"": {""percentile"": 0.9455040871934605, ""weight"": 0.15}, ""operating_margin"": {""percentile"": 0.7956204379562044, ""weight"": 0.15}, ""revenue_yoy"": {""percentile"": 0.997867803837953, ""weight"": 0.15}, ""roa"": {""percentile"": 0.9887005649717514, ""weight"": 0.1}}",450348143.9985153,-0.17387299380959198,-0.3887441307519981,-0.4709778346969392,0.06728841642151503,0.07892538707281552,,False,True,False,False,False,False,2
2026-07-21,HKEX:06066,06066,CSC,"CSC Financial Co., Ltd.  - H Shares",SECURITIES_AND_BROKERAGE,ELIGIBLE_CORE,VALID,A,QUALITY_COMPOUNDER,CORE,9,90,0.9111111111111111,0.8293864468864467,4,0.6000000000000001,"{""earnings_yield"": {""percentile"": 0.7857142857142857, ""weight"": 0.15}, ""net_income_yoy"": {""percentile"": 1.0, ""weight"": 0.15}, ""roa"": {""percentile"": 0.9230769230769231, ""weight"": 0.1}, ""roe"": {""percentile"": 0.8461538461538461, ""weight"": 0.2}}",156615242.28234917,-0.07238342362410122,0.08151857222408476,-0.04795292939292839,0.032566071177115456,0.037510657900342415,0.028905840593764234,False,True,True,False,False,False,2
2026-07-21,HKEX:03939,03939,WANGUO GOLD GP,Wanguo Gold Group Ltd.,GENERAL_NON_FINANCIAL,ELIGIBLE_CORE,VALID,A,QUALITY_COMPOUNDER,CORE,10,90,0.9,0.8265534263783691,6,0.8,"{""earnings_yield"": {""percentile"": 0.44, ""weight"": 0.15}, ""gross_margin"": {""percentile"": 0.8996350364963503, ""weight"": 0.1}, ""net_income_yoy"": {""percentile"": 0.9073569482288828, ""weight"": 0.15}, ""operating_margin"": {""percentile"": 0.9890510948905109, ""weight"": 0.15}, ""revenue_yoy"": {""percentile"": 0.9530916844349681, ""weight"": 0.15}, ""roa"": {""percentile"": 0.9830508474576272, ""weight"": 0.1}}",255957689.74262056,0.07562077903569753,-0.2450112629586355,-0.2815792829947824,0.01707765000631947,0.03257082987380377,,False,False,False,False,False,False,3
