symbol,board,list_date,is_st,is_suspended,shard_id,provider_id,fallback_used,attempts,latency_seconds,source_errors,state,quarantine_reason,observation_count,first_valid_date,latest_valid_date,has_volume,has_amount,series_hash,future_rows,duplicate_dates,impossible_ohlc_rows,negative_volume_rows,negative_amount_rows,release_id,assigned_shard
920000.BJ,BSE,2020-12-23,False,False,shard_09,sina_daily,False,1,1.2071,,READY,,463,2024-08-15,2026-07-16,True,True,2ba83454aa8a4e0cf19528382383ca7dcde69604f6ff530308e87a885f304fc9,0,0,0,0,0,FMDL2B2_29556547410_1,9
920001.BJ,BSE,2022-12-27,False,False,shard_20,sina_daily,False,1,1.668,,READY,,463,2024-08-15,2026-07-16,True,True,86c8b430bf781a38a77b585d6c6a29cae8c3344cd40a16d0511e279f14c0081e,0,0,0,0,0,FMDL2B2_29556547410_1,20
920002.BJ,BSE,2024-05-30,False,False,shard_14,sina_daily,False,1,1.536,,READY,,463,2024-08-15,2026-07-16,True,True,d2c8053109aaba42e433e76e99f0db6a73f6edd8353bd93e5c08a6ec7ae3118f,0,0,0,0,0,FMDL2B2_29556547410_1,14
920003.BJ,BSE,2025-11-07,False,False,shard_00,sina_daily,False,1,1.2934,,READY,,167,2025-11-07,2026-07-16,True,True,2f0a57c3a00e5cf9fcc26f8deadae6a8d5e287aba0b80fa7a048b32ad1b3e67a,0,0,0,0,0,FMDL2B2_29556547410_1,0
920005.BJ,BSE,2025-07-31,False,False,shard_02,sina_daily,False,1,1.7769,,READY,,232,2025-07-31,2026-07-16,True,True,bfc34e45e4890f499e1bdb562bc2b8509a5c14325873145f470653326f36ff50,0,0,0,0,0,FMDL2B2_29556547410_1,2
920006.BJ,BSE,2023-05-18,False,False,shard_02,sina_daily,False,1,1.5598,,READY,,463,2024-08-15,2026-07-16,True,True,adca417d2470d02fa3c35154aeff132780ed2c65a749c7be83efb7bed42a7447,0,0,0,0,0,FMDL2B2_29556547410_1,2
920007.BJ,BSE,2025-08-08,False,False,shard_10,sina_daily,False,1,1.2845,,READY,,226,2025-08-08,2026-07-16,True,True,b52d045b2c7d042612f5472ac597436190c33832cda3f10f467d3d1ed3a9b3f3,0,0,0,0,0,FMDL2B2_29556547410_1,10
920008.BJ,BSE,2024-08-29,False,False,shard_03,sina_daily,False,1,1.7562,,READY,,453,2024-08-29,2026-07-16,True,True,15f9f24c82e046f13d2f74539e46b3d7bb0ffe42209d2cf612bc9ba549edf7c9,0,0,0,0,0,FMDL2B2_29556547410_1,3
920009.BJ,BSE,2025-11-03,False,False,shard_17,sina_daily,False,1,1.3658,,READY,,171,2025-11-03,2026-07-16,True,True,34df059e1a9e2db1d5fec74f137ed03ba7413d75eaad351398281fc4ee72ad3f,0,0,0,0,0,FMDL2B2_29556547410_1,17
920010.BJ,BSE,2020-07-27,False,False,shard_18,sina_daily,False,1,2.7008,,READY,,463,2024-08-15,2026-07-16,True,True,c3bbb03f1efd82772da14e0e33535406779855f7d997bb6d97cb36e1998c37da,0,0,0,0,0,FMDL2B2_29556547410_1,18
920011.BJ,BSE,2026-04-08,False,False,shard_10,sina_daily,False,1,2.5098,,READY,,68,2026-04-08,2026-07-16,True,True,23cdb03ff3c59254e29b27c6438671108d427c63e2903623764c2593fcf9b770,0,0,0,0,0,FMDL2B2_29556547410_1,10
920012.BJ,BSE,2026-04-13,False,False,shard_16,sina_daily,False,1,1.5505,,READY,,65,2026-04-13,2026-07-16,True,True,2cbda1314b146eba3a5c840b891ffe674316e6de833594f8f19ac41d2d16215a,0,0,0,0,0,FMDL2B2_29556547410_1,16
920014.BJ,BSE,2022-12-13,False,False,shard_17,sina_daily,False,1,1.6641,,READY,,463,2024-08-15,2026-07-16,True,True,181bb7f7a75d31869e86656ceb0c1a216efdd8c803fea08da084def5641a168a,0,0,0,0,0,FMDL2B2_29556547410_1,17
920015.BJ,BSE,2025-09-25,False,False,shard_12,sina_daily,False,1,2.4423,,READY,,192,2025-09-25,2026-07-16,True,True,5337ee4b29da74c997f3d173bcb01c50539de6153bce73611000e091095ef4f9,0,0,0,0,0,FMDL2B2_29556547410_1,12
920016.BJ,BSE,2024-09-13,False,False,shard_07,sina_daily,False,1,1.9691,,READY,,442,2024-09-13,2026-07-16,True,True,6d18f6d6ff82fc39f4eed85a65bda682913e3d34dfe3b3a005c7ceb72193946f,0,0,0,0,0,FMDL2B2_29556547410_1,7
920017.BJ,BSE,2023-05-31,False,False,shard_14,sina_daily,False,1,2.9107,,READY,,463,2024-08-15,2026-07-16,True,True,34fd3a44bafb6da3d06cdba177192bdbfb47413e49acfee29d4d9422ba8ca6f3,0,0,0,0,0,FMDL2B2_29556547410_1,14
920018.BJ,BSE,2025-08-20,False,False,shard_19,sina_daily,False,1,1.7927,,READY,,218,2025-08-20,2026-07-16,True,True,372f6ffdd9506ca3878be3afe854a0ac4968f6723ea3e0a1517a1ed6a329e844,0,0,0,0,0,FMDL2B2_29556547410_1,19
920019.BJ,BSE,2024-10-11,False,False,shard_01,sina_daily,False,1,1.1708,,READY,,429,2024-10-11,2026-07-16,True,True,11300d3922ff4cd373117ffd02522ad9f203e99c0790fccae7faed87ff6c3ba4,0,0,0,0,0,FMDL2B2_29556547410_1,1
920020.BJ,BSE,2025-10-28,False,False,shard_02,sina_daily,False,1,2.1154,,READY,,175,2025-10-28,2026-07-16,True,True,695387e176f60e746088b9051b84cc1b94e16a82e698c935dca2f14a7b4c1528,0,0,0,0,0,FMDL2B2_29556547410_1,2
920021.BJ,BSE,2020-07-27,False,False,shard_02,sina_daily,False,1,1.8884,,READY,,463,2024-08-15,2026-07-16,True,True,107d31890a0aa7d8d2cb875c27de5d6ac304a4f6fa6f900e09b2249111655a55,0,0,0,0,0,FMDL2B2_29556547410_1,2
920022.BJ,BSE,2025-09-19,False,False,shard_15,sina_daily,False,1,1.3807,,READY,,196,2025-09-19,2026-07-16,True,True,0af97638523f06571c71fe171be1b758c93ecb7a9bad913fb4809c0931268acd,0,0,0,0,0,FMDL2B2_29556547410_1,15
920023.BJ,BSE,2023-02-02,True,False,shard_09,sina_daily,False,1,1.5143,,READY,,462,2024-08-15,2026-07-16,True,True,a45bc4021720f645beb7b8693cb6f52b243c8f2bc69ee4b7c4d0a0a53fb81cbe,0,0,0,0,0,FMDL2B2_29556547410_1,9
920026.BJ,BSE,2023-10-19,False,False,shard_08,sina_daily,False,1,1.5801,,READY,,463,2024-08-15,2026-07-16,True,True,a27766603dbc9fca7f5ecef5a8fe23e150c68997d6aafe397497e12aa71db1e0,0,0,0,0,0,FMDL2B2_29556547410_1,8
920027.BJ,BSE,2025-06-10,False,False,shard_08,sina_daily,False,1,1.6517,,READY,,269,2025-06-10,2026-07-16,True,True,9338539be6d571696e8c072bc9a937efd36d5ac4a3a2955d096fac6bb711c6ad,0,0,0,0,0,FMDL2B2_29556547410_1,8
920028.BJ,BSE,2026-03-20,False,False,shard_10,sina_daily,False,1,1.3183,,READY,,80,2026-03-20,2026-07-16,True,True,9d3203d8c588145ed7132c7a19b8f41922abd1f47c4573a270e292af9abe043e,0,0,0,0,0,FMDL2B2_29556547410_1,10
920029.BJ,BSE,2025-03-28,False,False,shard_21,sina_daily,False,1,2.4129,,READY,,316,2025-03-28,2026-07-16,True,True,164645bbad1f057ae93f010e04b4cd659ecb3ce1ffad9f352ee8aa688d34cdb6,0,0,0,0,0,FMDL2B2_29556547410_1,21
920030.BJ,BSE,2020-11-27,False,False,shard_18,sina_daily,False,1,1.5163,,READY,,463,2024-08-15,2026-07-16,True,True,5f44828458d3092d2c8293afd7e2b73e04ddf783adff12feb19db0d89326f747,0,0,0,0,0,FMDL2B2_29556547410_1,18
920033.BJ,BSE,2022-12-21,False,False,shard_01,sina_daily,False,1,1.0918,,READY,,463,2024-08-15,2026-07-16,True,True,0c7cd3993f49f1d748e07c664078cab364b05eb7e8dbb16a8e3abe697974f00a,0,0,0,0,0,FMDL2B2_29556547410_1,1
920035.BJ,BSE,2025-12-02,False,False,shard_05,sina_daily,False,1,1.2122,,READY,,150,2025-12-02,2026-07-16,True,True,919884989365167150be7109426e91dd26393ad738731ebbec23b2be28a316ee,0,0,0,0,0,FMDL2B2_29556547410_1,5
920036.BJ,BSE,2026-03-09,False,False,shard_10,sina_daily,False,1,1.3569,,READY,,89,2026-03-09,2026-07-16,True,True,c9688d7db01cccdd63ed2f1af458850ba085437fa342bb0845fa1e97dcf52453,0,0,0,0,0,FMDL2B2_29556547410_1,10
920037.BJ,BSE,2025-06-26,False,False,shard_08,sina_daily,False,1,1.5341,,READY,,257,2025-06-26,2026-07-16,True,True,e214711714164bf3b9c40aff2746b8addd8743e14f657ec425bd3cb0f7231d70,0,0,0,0,0,FMDL2B2_29556547410_1,8
920039.BJ,BSE,2021-08-18,False,False,shard_05,sina_daily,False,1,1.1526,,READY,,463,2024-08-15,2026-07-16,True,True,ac732f6e1e7b3153dc3df2678528acff4525d21e4c96717f64906eca75ff4a3b,0,0,0,0,0,FMDL2B2_29556547410_1,5
920045.BJ,BSE,2025-12-31,False,False,shard_12,sina_daily,False,1,1.171,,READY,,129,2025-12-31,2026-07-16,True,True,681c25cc4654b108f8b2ec6e933b630479c6c79622401f27ee083f1dc745ea80,0,0,0,0,0,FMDL2B2_29556547410_1,12
