symbol,as_of_date,previous_as_of_date,refresh_state,refresh_reason,provider_id,latest_history_date
920000.BJ,2026-09-08,2026-08-07,REPAIRED_FULL_HISTORY,MULTI_SESSION_GAP_22_FULL_REBASE,sina_daily,2026-09-08
920001.BJ,2026-09-08,2026-08-07,REPAIRED_FULL_HISTORY,MULTI_SESSION_GAP_22_FULL_REBASE,sina_daily,2026-09-08
920002.BJ,2026-09-08,2026-08-07,REPAIRED_FULL_HISTORY,MULTI_SESSION_GAP_22_FULL_REBASE,sina_daily,2026-09-08
920003.BJ,2026-09-08,2026-08-07,REPAIRED_FULL_HISTORY,MULTI_SESSION_GAP_22_FULL_REBASE,sina_daily,2026-09-08
920005.BJ,2026-09-08,2026-08-07,REPAIRED_FULL_HISTORY,MULTI_SESSION_GAP_22_FULL_REBASE,sina_daily,2026-09-08
920006.BJ,2026-09-08,2026-08-07,REPAIRED_FULL_HISTORY,MULTI_SESSION_GAP_22_FULL_REBASE,sina_daily,2026-09-08
920007.BJ,2026-09-08,2026-08-07,REPAIRED_FULL_HISTORY,MULTI_SESSION_GAP_22_FULL_REBASE,sina_daily,2026-09-08
920008.BJ,2026-09-08,2026-08-07,REPAIRED_FULL_HISTORY,MULTI_SESSION_GAP_22_FULL_REBASE,sina_daily,2026-09-08
920009.BJ,2026-09-08,2026-08-07,REPAIRED_FULL_HISTORY,MULTI_SESSION_GAP_22_FULL_REBASE,sina_daily,2026-09-08
920010.BJ,2026-09-08,2026-08-07,REPAIRED_FULL_HISTORY,MULTI_SESSION_GAP_22_FULL_REBASE,sina_daily,2026-09-08
920011.BJ,2026-09-08,2026-08-07,REPAIRED_FULL_HISTORY,MULTI_SESSION_GAP_22_FULL_REBASE,sina_daily,2026-09-08
920012.BJ,2026-09-08,2026-08-07,REPAIRED_FULL_HISTORY,MULTI_SESSION_GAP_22_FULL_REBASE,sina_daily,2026-09-08
920014.BJ,2026-09-08,2026-08-07,REPAIRED_FULL_HISTORY,MULTI_SESSION_GAP_22_FULL_REBASE,sina_daily,2026-09-08
920015.BJ,2026-09-08,2026-08-07,REPAIRED_FULL_HISTORY,MULTI_SESSION_GAP_22_FULL_REBASE,sina_daily,2026-09-08
920016.BJ,2026-09-08,2026-08-07,REPAIRED_FULL_HISTORY,MULTI_SESSION_GAP_22_FULL_REBASE,sina_daily,2026-09-08
920017.BJ,2026-09-08,2026-08-07,REPAIRED_FULL_HISTORY,MULTI_SESSION_GAP_22_FULL_REBASE,sina_daily,2026-09-08
920018.BJ,2026-09-08,2026-08-07,REPAIRED_FULL_HISTORY,MULTI_SESSION_GAP_22_FULL_REBASE,sina_daily,2026-09-08
920019.BJ,2026-09-08,2026-08-07,REPAIRED_FULL_HISTORY,MULTI_SESSION_GAP_22_FULL_REBASE,sina_daily,2026-09-08
920020.BJ,2026-09-08,2026-08-07,REPAIRED_FULL_HISTORY,MULTI_SESSION_GAP_22_FULL_REBASE,sina_daily,2026-09-08
920021.BJ,2026-09-08,2026-08-07,REPAIRED_FULL_HISTORY,MULTI_SESSION_GAP_22_FULL_REBASE,sina_daily,2026-09-08
920022.BJ,2026-09-08,2026-08-07,REPAIRED_FULL_HISTORY,MULTI_SESSION_GAP_22_FULL_REBASE,sina_daily,2026-09-08
920023.BJ,2026-09-08,2026-08-07,REPAIRED_FULL_HISTORY,MULTI_SESSION_GAP_22_FULL_REBASE,sina_daily,2026-09-08
920026.BJ,2026-09-08,2026-08-07,REPAIRED_FULL_HISTORY,MULTI_SESSION_GAP_22_FULL_REBASE,sina_daily,2026-09-08
