symbol,board,list_date,is_st,is_suspended,as_of_date,previous_as_of_date,refresh_state,refresh_reason,provider_id,latest_history_date,last_close,continuity_expected_prior,continuity_difference
920000.BJ,BSE,2020-12-23,False,False,2026-09-07,2026-08-07,REPAIRED_FULL_HISTORY,MULTI_SESSION_GAP_21_FULL_REBASE,sina_daily,2026-09-07,14.53,,
920001.BJ,BSE,2022-12-27,False,False,2026-09-07,2026-08-07,REPAIRED_FULL_HISTORY,MULTI_SESSION_GAP_21_FULL_REBASE,sina_daily,2026-09-07,11.62,,
920002.BJ,BSE,2024-05-30,False,False,2026-09-07,2026-08-07,REPAIRED_FULL_HISTORY,MULTI_SESSION_GAP_21_FULL_REBASE,sina_daily,2026-09-07,53.84,,
920003.BJ,BSE,2025-11-07,False,False,2026-09-07,2026-08-07,REPAIRED_FULL_HISTORY,MULTI_SESSION_GAP_21_FULL_REBASE,sina_daily,2026-09-07,15.98,,
920005.BJ,BSE,2025-07-31,False,False,2026-09-07,2026-08-07,REPAIRED_FULL_HISTORY,MULTI_SESSION_GAP_21_FULL_REBASE,sina_daily,2026-09-07,24.68,,
920006.BJ,BSE,2023-05-18,False,False,2026-09-07,2026-08-07,REPAIRED_FULL_HISTORY,MULTI_SESSION_GAP_21_FULL_REBASE,sina_daily,2026-09-07,19.69,,
920007.BJ,BSE,2025-08-08,False,False,2026-09-07,2026-08-07,REPAIRED_FULL_HISTORY,MULTI_SESSION_GAP_21_FULL_REBASE,sina_daily,2026-09-07,34.54,,
920008.BJ,BSE,2024-08-29,False,False,2026-09-07,2026-08-07,REPAIRED_FULL_HISTORY,MULTI_SESSION_GAP_21_FULL_REBASE,sina_daily,2026-09-07,21.37,,
920009.BJ,BSE,2025-11-03,False,False,2026-09-07,2026-08-07,REPAIRED_FULL_HISTORY,MULTI_SESSION_GAP_21_FULL_REBASE,sina_daily,2026-09-07,36.55,,
920010.BJ,BSE,2020-07-27,False,False,2026-09-07,2026-08-07,REPAIRED_FULL_HISTORY,MULTI_SESSION_GAP_21_FULL_REBASE,sina_daily,2026-09-07,9.41,,
920011.BJ,BSE,2026-04-08,False,False,2026-09-07,2026-08-07,REPAIRED_FULL_HISTORY,MULTI_SESSION_GAP_21_FULL_REBASE,sina_daily,2026-09-07,18.59,,
920012.BJ,BSE,2026-04-13,False,False,2026-09-07,2026-08-07,REPAIRED_FULL_HISTORY,MULTI_SESSION_GAP_21_FULL_REBASE,sina_daily,2026-09-07,49.87,,
920014.BJ,BSE,2022-12-13,False,False,2026-09-07,2026-08-07,REPAIRED_FULL_HISTORY,MULTI_SESSION_GAP_21_FULL_REBASE,sina_daily,2026-09-07,8.95,,
920015.BJ,BSE,2025-09-25,False,False,2026-09-07,2026-08-07,REPAIRED_FULL_HISTORY,MULTI_SESSION_GAP_21_FULL_REBASE,sina_daily,2026-09-07,39.38,,
