symbol,prior_close,expected_prior,difference,passes
000001.SZ,11.85,11.849980450539867,1.9549460132495255e-05,True
000002.SZ,3.05,3.050012119253454,1.211925345412368e-05,True
000006.SZ,6.79,6.78997173405432,2.8265945680061577e-05,True
000007.SZ,10.99,10.990007252800387,7.252800386936542e-06,True
000008.SZ,2.46,2.460011939806905,1.1939806904948114e-05,True
000009.SZ,6.94,6.939980716696128,1.9283303872796864e-05,True
000010.SZ,1.72,1.7200087089048552,8.708904855270205e-06,True
000011.SZ,8.58,8.579995227572182,4.772427818267033e-06,True
000012.SZ,3.77,3.7700186976668566,1.8697666856581918e-05,True
000014.SZ,10.27,10.269986299817674,1.3700182325493415e-05,True
000017.SZ,7.5,7.500026114297055,2.6114297054569136e-05,True
000019.SZ,6.96,6.95998011434253,1.9885657470020135e-05,True
000020.SZ,12.8,12.800066278660342,6.627866034136787e-05,True
000021.SZ,33.77,33.769855101329476,0.0001448986705270272,True
000025.SZ,14.69,14.689951910908631,4.808909136855277e-05,True
000026.SZ,18.23,18.229917751544022,8.224845597837316e-05,True
000027.SZ,6.37,6.37,0.0,True
000028.SZ,20.0,20.0,0.0,True
000029.SZ,21.19,21.190098572604445,9.85726044433477e-05,True
000030.SZ,4.06,4.060010431261058,1.0431261058485575e-05,True
000031.SZ,2.19,2.190006169031462,6.169031462111008e-06,True
000032.SZ,13.93,13.930064987336305,6.498733630522224e-05,True
000034.SZ,23.1,23.1,0.0,True
000035.SZ,4.88,4.880016132284735,1.6132284734737823e-05,True
000036.SZ,3.81,3.8100102145045964,1.0214504596373075e-05,True
000037.SZ,9.69,9.689978649199585,2.135080041476556e-05,True
000039.SZ,9.22,9.220002028603307,2.028603306669652e-06,True
000042.SZ,8.21,8.209965059681297,3.494031870410197e-05,True
000045.SZ,10.92,10.920055415206585,5.541520658525201e-05,True
000048.SZ,20.11,20.11003416223087,3.416223087171488e-05,True
000049.SZ,22.13,22.129929972413375,7.00275866236666e-05,True
000050.SZ,6.54,6.5400028479017065,2.8479017064597656e-06,True
000055.SZ,3.57,3.569995576086174,4.423913825934989e-06,True
000056.SZ,2.77,2.7700039979439146,3.997943914590962e-06,True
000058.SZ,7.03,7.029984411773696,1.5588226304430464e-05,True
000059.SZ,5.44,5.4399838815292405,1.611847075988493e-05,True
000060.SZ,6.17,6.169981479990337,1.8520009662736925e-05,True
000061.SZ,6.16,6.160014199354765,1.419935476487666e-05,True
000062.SZ,22.59,22.590056323189756,5.632318975656858e-05,True
000063.SZ,31.95,31.94993412384716,6.587615283848436e-05,True
000065.SZ,9.44,9.440036452606657,3.645260665763317e-05,True
000066.SZ,13.92,13.919995179222449,4.820777551373112e-06,True
000068.SZ,3.3,3.299988620728894,1.1379271105838029e-05,True
000069.SZ,1.78,1.7799965218458769,3.4781541231598823e-06,True
000070.SZ,16.7,16.699980011992807,1.998800719249516e-05,True
000078.SZ,1.55,1.5500031000062,3.10000619996309e-06,True
000088.SZ,4.64,4.640014749715761,1.4749715761652737e-05,True
000089.SZ,6.53,6.530010799245062,1.0799245061754448e-05,True
000090.SZ,3.44,3.4400040830909,4.083090900053321e-06,True
000096.SZ,8.14,8.140033049758248,3.304975824747203e-05,True
000099.SZ,13.14,13.14001825002535,1.8250025348720555e-05,True
000100.SZ,4.67,4.669990620526238,9.379473762116675e-06,True
000151.SZ,10.54,10.5400197885747,1.9788574700640993e-05,True
000153.SZ,6.17,6.169983032546661,1.6967453339233884e-05,True
000155.SZ,11.82,11.819974247545469,2.5752454531513536e-05,True
000156.SZ,6.96,6.960017778855284,1.77788552839786e-05,True
000157.SZ,6.52,6.519983851433185,1.6148566814422338e-05,True
000158.SZ,12.86,12.860003863084165,3.86308416544523e-06,True
000159.SZ,5.66,5.660004369856315,4.3698563150229575e-06,True
000166.SZ,4.44,4.440014498006525,1.4498006524199525e-05,True
000301.SZ,13.44,13.43994057102642,5.942897357869015e-05,True
000333.SZ,86.8,86.80033832528981,0.000338325289817476,True
000338.SZ,26.14,26.14011664675708,0.00011664675707834249,True
000400.SZ,20.6,20.599931367205635,6.863279436686298e-05,True
000401.SZ,3.55,3.550006120700208,6.12070020800104e-06,True
000402.SZ,2.47,2.4699891239162035,1.087608379668481e-05,True
000403.SZ,10.16,10.16002032004064,2.032004064034254e-05,True
000404.SZ,6.91,6.910007316478335,7.316478335184229e-06,True
000407.SZ,4.3,4.299979620949664,2.037905033613896e-05,True
000408.SZ,72.16,72.16000163350316,1.6335031602920935e-06,True
000409.SZ,8.89,8.889968423609425,3.157639057604911e-05,True
000410.SZ,5.03,5.029994434022552,5.5659774478300506e-06,True
000411.SZ,9.9,9.899989897969492,1.0102030508107873e-05,True
000415.SZ,4.52,4.519989176079135,1.0823920864488912e-05,True
000417.SZ,5.87,5.869981479737578,1.852026242232796e-05,True
000419.SZ,5.19,5.189986868707924,1.3131292076806744e-05,True
000420.SZ,3.54,3.539984582302106,1.5417697893926885e-05,True
000421.SZ,5.79,5.7900114561724,1.1456172400059472e-05,True
000422.SZ,11.96,11.959978125696232,2.187430376920929e-05,True
000423.SZ,46.47,46.47014361300076,0.00014361300075904637,True
000425.SZ,8.1,8.099979257415473,2.0742584526445285e-05,True
000426.SZ,35.41,35.40986218433841,0.0001378156615885473,True
000428.SZ,4.58,4.580016897149718,1.689714971764289e-05,True
000429.SZ,12.7,12.699952486537851,4.751346214781904e-05,True
000430.SZ,7.27,7.269978545781967,2.145421803234626e-05,True
000488.SZ,2.05,2.0499994875001284,5.124998714300943e-07,True
000498.SZ,4.88,4.8800040082168445,4.008216844653134e-06,True
000501.SZ,7.4,7.399985387899092,1.461210090791809e-05,True
000503.SZ,6.85,6.850019542097793,1.9542097793312507e-05,True
000504.SZ,8.6,8.600002059880733,2.0598807335403535e-06,True
000505.SZ,6.65,6.650006796390595,6.796390594310253e-06,True
000506.SZ,18.66,18.659931659485963,6.834051403714625e-05,True
000507.SZ,5.1,5.099983873568779,1.6126431220619963e-05,True
000509.SZ,3.5,3.4999948529487455,5.147051254539292e-06,True
000510.SZ,17.06,17.059991598884945,8.401115053402464e-06,True
000513.SZ,27.0,27.00012189671285,0.00012189671285156578,True
000514.SZ,4.16,4.160016475312774,1.6475312773600592e-05,True
000516.SZ,4.35,4.350022162435187,2.2162435187489393e-05,True
000517.SZ,2.03,2.029990819136999,9.180863000946005e-06,True
000518.SZ,3.89,3.890012214022519,1.2214022518719503e-05,True
000519.SZ,15.8,15.799983530961791,1.646903820962109e-05,True
000520.SZ,4.22,4.2199850935849925,1.4906415007231999e-05,True
000521.SZ,4.44,4.440008961485978,8.961485977287964e-06,True
000523.SZ,3.61,3.6099880037321723,1.1996267827552032e-05,True
000524.SZ,9.08,9.079990888948709,9.111051291199601e-06,True
000525.SZ,4.67,4.669981070455349,1.8929544650880814e-05,True
000526.SZ,35.47,35.470141900882695,0.00014190088269572243,True
000528.SZ,8.15,8.14998358061916,1.6419380839849396e-05,True
000529.SZ,4.99,4.99001996007984,1.9960079839620448e-05,True
000530.SZ,5.13,5.1299869195552645,1.3080444735358299e-05,True
000531.SZ,5.78,5.780000598963793,5.989637923420332e-07,True
000532.SZ,11.74,11.74003768157047,3.768157047012721e-05,True
000533.SZ,11.48,11.47997474198524,2.5258014760609626e-05,True
000534.SZ,23.64,23.639942371299284,5.762870071635007e-05,True
000536.SZ,3.41,3.4100074530103015,7.4530103013614735e-06,True
000537.SZ,7.8,7.7999938823577395,6.117642260328182e-06,True
000538.SZ,50.76,50.75979632056502,0.0002036794349749016,True
000539.SZ,5.38,5.380014468978307,1.4468978307036195e-05,True
000541.SZ,4.9,4.90001728221863,1.7282218629510737e-05,True
000543.SZ,7.49,7.489967020304367,3.297969563309522e-05,True
000544.SZ,7.37,7.370011049947791,1.104994779055346e-05,True
000545.SZ,2.23,2.2299928807739016,7.1192260984176414e-06,True
000546.SZ,4.56,4.560019719004191,1.971900419128758e-05,True
000547.SZ,14.61,14.61001105129219,1.1051292190700224e-05,True
000548.SZ,4.61,4.610013571051187,1.3571051186822558e-05,True
000550.SZ,17.85,17.850059500198334,5.950019833278475e-05,True
000551.SZ,12.18,12.180058318483718,5.831848371862236e-05,True
000552.SZ,2.55,2.550009651430951,9.651430951329587e-06,True
000553.SZ,5.66,5.659981832157081,1.8167842918970223e-05,True
000554.SZ,6.67,6.6699830458574025,1.6954142597391808e-05,True
000555.SZ,10.54,10.540051182974075,5.118297407591399e-05,True
000557.SZ,3.79,3.7900128040973113,1.2804097311303053e-05,True
000558.SZ,3.81,3.8099939898686355,6.010131364586613e-06,True
000559.SZ,10.52,10.520003252561391,3.2525613917755436e-06,True
000560.SZ,2.68,2.679994205417934,5.794582066176446e-06,True
000561.SZ,7.82,7.820016786423468,1.67864234681403e-05,True
000563.SZ,2.97,2.969988019370363,1.198062963725377e-05,True
000564.SZ,1.54,1.539998335136935,1.6648630649651608e-06,True
000565.SZ,6.93,6.929985067406987,1.4932593012773054e-05,True
000566.SZ,4.7,4.699987577125347,1.2422874653417182e-05,True
000567.SZ,6.01,6.010013240648791,1.3240648791601473e-05,True
000568.SZ,73.48,73.47988488151368,0.000115118486320398,True
000570.SZ,5.24,5.239985117202035,1.4882797965576344e-05,True
000571.SZ,5.81,5.810016389742181,1.638974218121092e-05,True
000572.SZ,4.33,4.329993250610041,6.749389958926599e-06,True
000573.SZ,3.71,3.7100191184829225,1.9118482922575453e-05,True
000576.SZ,8.28,8.27997236572112,2.763427887941816e-05,True
000581.SZ,18.11,18.110069762525544,6.976252554480311e-05,True
000582.SZ,11.04,11.040018841632156,1.8841632156707533e-05,True
000586.SZ,14.11,14.109955299327401,4.470067259809696e-05,True
000589.SZ,4.3,4.300009105901636,9.105901636274893e-06,True
000590.SZ,9.14,9.139969429453785,3.057054621535826e-05,True
000591.SZ,4.35,4.35,0.0,True
000592.SZ,8.1,8.09998159095093,1.8409049069134653e-05,True
000593.SZ,21.55,21.54996323229022,3.676770977989463e-05,True
000595.SZ,5.55,5.5499963894075535,3.610592446356975e-06,True
000596.SZ,92.1,92.0996917865548,0.000308213445194383,True
000597.SZ,4.74,4.740017236426314,1.723642631379363e-05,True
000598.SZ,7.15,7.150018735884789,1.873588478851218e-05,True
000599.SZ,4.7,4.70000205689368,2.056893679380778e-06,True
000600.SZ,7.47,7.470013664659143,1.3664659142875735e-05,True
000601.SZ,6.38,6.380007949530672,7.949530671957916e-06,True
000603.SZ,33.5,33.50015734922391,0.00015734922391175132,True
000605.SZ,5.99,5.990030578477778,3.0578477777432056e-05,True
000607.SZ,3.85,3.8499840867324417,1.591326755834288e-05,True
000608.SZ,7.13,7.129965688899466,3.4311100534090144e-05,True
000609.SZ,9.43,9.430023320468038,2.3320468038434683e-05,True
000610.SZ,9.38,9.379966436612987,3.3563387013657575e-05,True
000612.SZ,10.52,10.52000541470867,5.4147086707700964e-06,True
000615.SZ,3.28,3.279987001909095,1.2998090904936532e-05,True
000617.SZ,6.8,6.80003242936479,3.242936478997649e-05,True
000619.SZ,4.99,4.989999381405035,6.185949654735623e-07,True
000620.SZ,3.1,3.1000049679566795,4.967956679369223e-06,True
000623.SZ,17.58,17.580019398642094,1.9398642095325158e-05,True
000625.SZ,7.23,7.229967810396125,3.218960387574299e-05,True
000626.SZ,9.02,9.019997745000564,2.2549994351805935e-06,True
000628.SZ,52.1,52.09994683678894,5.316321106363375e-05,True
000629.SZ,2.91,2.909991642584556,8.357415444137928e-06,True
000630.SZ,6.09,6.089973798949934,2.6201050065566278e-05,True
000631.SZ,2.96,2.959989457571795,1.0542428205084775e-05,True
000632.SZ,4.14,4.1399955415432625,4.458456737133076e-06,True
000633.SZ,5.22,5.220015918464385,1.5918464384867548e-05,True
000635.SZ,7.38,7.380036134616759,3.613461675922025e-05,True
000636.SZ,58.9,58.900040966816874,4.0966816875709355e-05,True
000637.SZ,4.21,4.210004952947004,4.952947003644681e-06,True
000639.SZ,1.69,1.6899971301935526,2.8698064473697826e-06,True
000650.SZ,5.29,5.289984566647713,1.5433352286819968e-05,True
000651.SZ,38.71,38.70993824602541,6.175397459173837e-05,True
000652.SZ,3.44,3.440000823952293,8.2395229306087e-07,True
000655.SZ,7.19,7.19001903836027,1.9038360269618693e-05,True
000656.SZ,1.2,1.2000040678103991,4.067810399188687e-06,True
000657.SZ,59.17,59.16974099570228,0.00025900429772462985,True
000659.SZ,2.9,2.9000126087504725,1.2608750472598018e-05,True
000661.SZ,72.26,72.26001511715798,1.5117157971644701e-05,True
000663.SZ,6.0,5.999979310416171,2.0689583829280878e-05,True
000665.SZ,4.12,4.120004109729785,4.109729784929073e-06,True
000668.SZ,20.76,20.75998303697348,1.6963026521210622e-05,True
000669.SZ,4.43,4.429996821067096,3.1789329035802893e-06,True
000670.SZ,7.58,7.579961262628907,3.873737109305608e-05,True
000672.SZ,14.33,14.329984406766277,1.5593233722910327e-05,True
000676.SZ,6.76,6.76000449985171,4.4998517099159585e-06,True
000677.SZ,1.82,1.8199989479774867,1.0520225133259231e-06,True
000678.SZ,8.83,8.82997684948065,2.3150519350423338e-05,True
000679.SZ,6.43,6.429986929206898,1.3070793102087919e-05,True
000680.SZ,10.15,10.149998976814619,1.0231853817543879e-06,True
000681.SZ,16.08,16.07992580046778,7.419953221798892e-05,True
000682.SZ,10.82,10.77996195307546,0.04003804692453983,False
000683.SZ,5.88,5.879983890455095,1.610954490516292e-05,True
000685.SZ,11.07,11.06996175464444,3.8245355559851646e-05,True
000686.SZ,7.75,7.749979791447741,2.020855225914886e-05,True
000688.SZ,26.3,26.29995001173194,4.9988268060019436e-05,True
000690.SZ,5.27,5.270013024747019,1.3024747019585448e-05,True
000691.SZ,9.64,9.640023144321376,2.3144321374957144e-05,True
000692.SZ,4.22,4.2200187785676695,1.877856766974162e-05,True
000695.SZ,13.27,13.270045424386261,4.542438626131684e-05,True
000697.SZ,8.9,8.8999644001424,3.5599857600487894e-05,True
000698.SZ,3.59,3.5899887113669413,1.1288633058548214e-05,True
000700.SZ,11.6,11.6,0.0,True
000701.SZ,5.12,5.119983450558544,1.654944145634829e-05,True
000702.SZ,5.83,5.830018840276324,1.884027632392815e-05,True
000703.SZ,17.07,17.069958682255486,4.1317744514657306e-05,True
000705.SZ,7.14,7.139966168183564,3.383181643545896e-05,True
000707.SZ,4.56,4.5599917466212725,8.253378727118843e-06,True
000708.SZ,13.53,13.530061826110332,6.182611033267449e-05,True
000709.SZ,2.08,2.08000482319959,4.823199589942817e-06,True
