symbol,board,list_date,is_st,is_suspended,as_of_date,previous_as_of_date,refresh_state,refresh_reason,provider_id,latest_history_date,last_close,continuity_expected_prior,continuity_difference
920000.BJ,BSE,2020-12-23,False,False,2026-09-02,2026-09-01,READY_INCREMENTAL,,sina_public_snapshot,2026-09-02,14.76,14.189988175009853,1.182499014618088e-05
920001.BJ,BSE,2022-12-27,False,False,2026-09-02,2026-09-01,READY_INCREMENTAL,,sina_public_snapshot,2026-09-02,12.1,11.920007880996947,7.880996946596497e-06
920002.BJ,BSE,2024-05-30,False,False,2026-09-02,2026-09-01,READY_INCREMENTAL,,sina_public_snapshot,2026-09-02,53.91,52.8897565952771,0.00024340472290163007
920003.BJ,BSE,2025-11-07,False,False,2026-09-02,2026-09-01,READY_INCREMENTAL,,sina_public_snapshot,2026-09-02,16.8,16.23000231857176,2.3185717594742528e-06
920005.BJ,BSE,2025-07-31,False,False,2026-09-02,2026-09-01,READY_INCREMENTAL,,sina_public_snapshot,2026-09-02,25.62,25.260044367759427,4.436775942551208e-05
920006.BJ,BSE,2023-05-18,False,False,2026-09-02,2026-09-01,READY_INCREMENTAL,,sina_public_snapshot,2026-09-02,22.21,17.090005309366802,5.309366802208615e-06
920007.BJ,BSE,2025-08-08,False,False,2026-09-02,2026-09-01,READY_INCREMENTAL,,sina_public_snapshot,2026-09-02,34.5,33.759981211836546,1.8788163451688433e-05
920008.BJ,BSE,2024-08-29,False,False,2026-09-02,2026-09-01,READY_INCREMENTAL,,sina_public_snapshot,2026-09-02,22.33,20.49996786838892,3.2131611078511924e-05
920009.BJ,BSE,2025-11-03,False,False,2026-09-02,2026-09-01,READY_INCREMENTAL,,sina_public_snapshot,2026-09-02,37.25,36.48991506911043,8.493088957095551e-05
920010.BJ,BSE,2020-07-27,False,False,2026-09-02,2026-09-01,READY_INCREMENTAL,,sina_public_snapshot,2026-09-02,9.94,9.559990382303438,9.617696562713718e-06
920011.BJ,BSE,2026-04-08,False,False,2026-09-02,2026-09-01,READY_INCREMENTAL,,sina_public_snapshot,2026-09-02,19.0,18.519962570180912,3.742981908771981e-05
920012.BJ,BSE,2026-04-13,False,False,2026-09-02,2026-09-01,READY_INCREMENTAL,,sina_public_snapshot,2026-09-02,54.45,51.41982945048304,0.00017054951695882892
920014.BJ,BSE,2022-12-13,False,False,2026-09-02,2026-09-01,READY_INCREMENTAL,,sina_public_snapshot,2026-09-02,9.19,8.929959577114428,4.0422885572155565e-05
920015.BJ,BSE,2025-09-25,False,False,2026-09-02,2026-09-01,READY_INCREMENTAL,,sina_public_snapshot,2026-09-02,39.22,38.10985978447815,0.0001402155218528378
920016.BJ,BSE,2024-09-13,False,False,2026-09-02,2026-09-01,READY_INCREMENTAL,,sina_public_snapshot,2026-09-02,14.42,14.260002768932576,2.7689325765578587e-06
920017.BJ,BSE,2023-05-31,False,False,2026-09-02,2026-09-01,READY_INCREMENTAL,,sina_public_snapshot,2026-09-02,16.94,16.80005553737368,5.553737367947065e-05
920018.BJ,BSE,2025-08-20,False,False,2026-09-02,2026-09-01,READY_INCREMENTAL,,sina_public_snapshot,2026-09-02,16.35,15.519990887344802,9.112655197540676e-06
920019.BJ,BSE,2024-10-11,False,False,2026-09-02,2026-09-01,READY_INCREMENTAL,,sina_public_snapshot,2026-09-02,15.61,15.27995301487862,4.69851213793504e-05
920020.BJ,BSE,2025-10-28,False,False,2026-09-02,2026-09-01,READY_INCREMENTAL,,sina_public_snapshot,2026-09-02,15.2,14.919952491730223,4.7508269776841416e-05
920021.BJ,BSE,2020-07-27,False,False,2026-09-02,2026-09-01,READY_INCREMENTAL,,sina_public_snapshot,2026-09-02,9.17,9.349987254652051,1.2745347948595054e-05
920022.BJ,BSE,2025-09-19,False,False,2026-09-02,2026-09-01,READY_INCREMENTAL,,sina_public_snapshot,2026-09-02,20.09,19.590061627272018,6.162727201797225e-05
920023.BJ,BSE,2023-02-02,True,False,2026-09-02,2026-09-01,READY_INCREMENTAL,,sina_public_snapshot,2026-09-02,1.61,1.579995878271622,4.121728378159162e-06
920026.BJ,BSE,2023-10-19,False,False,2026-09-02,2026-09-01,READY_INCREMENTAL,,sina_public_snapshot,2026-09-02,21.73,21.720008795953863,8.795953863938166e-06
920027.BJ,BSE,2025-06-10,False,False,2026-09-02,2026-09-01,READY_INCREMENTAL,,sina_public_snapshot,2026-09-02,12.17,12.06994019577701,5.980422299067811e-05
920028.BJ,BSE,2026-03-20,False,False,2026-09-02,2026-09-01,READY_INCREMENTAL,,sina_public_snapshot,2026-09-02,15.39,14.800069240090012,6.924009001174625e-05
