column,row_count,mismatch_count,left_null_count,right_null_count
symbol,5528,0,0,0
name,5528,0,0,0
exchange,5528,0,0,0
board,5528,0,0,0
sector_profile,5528,0,0,0
market_as_of_date,5528,0,0,0
close,5528,0,5,5
total_shares,5528,0,5,5
float_a_shares,5528,0,5,5
total_market_cap_cny,5528,0,5,5
float_market_cap_cny,5528,0,5,5
capitalization_state,5528,0,0,0
pe_ttm,5528,0,1842,1842
pe_ttm_state,5528,0,0,0
earnings_yield_ttm,5528,0,1842,1842
earnings_yield_ttm_state,5528,0,0,0
pb,5528,0,379,379
pb_state,5528,0,0,0
ps_ttm,5528,0,455,455
ps_ttm_state,5528,0,0,0
fcf_yield_ttm,5528,0,452,452
fcf_yield_ttm_state,5528,0,0,0
ev_sales_ttm,5528,0,5528,5528
ev_sales_ttm_state,5528,0,0,0
ev_operating_income_ttm,5528,0,5528,5528
ev_operating_income_ttm_state,5528,0,0,0
valuation_valid_metric_count,5528,0,0,0
valuation_decision_grade_metric_count,5528,0,0,0
implemented_cash_dividend_per_share_ttm,5528,0,0,0
implemented_cash_dividend_total_cny_ttm,5528,0,1913,1913
dividend_yield_ttm,5528,0,5,5
completed_buyback_yield_ttm,5528,0,0,0
completed_issuance_dilution_yield_ttm,5528,0,0,0
shareholder_yield_ttm,5528,0,5,5
shareholder_return_state,5528,0,0,0
complete_shareholder_yield,5528,0,0,0
capitalization_lineage_id,5528,0,0,0
valuation_row_hash,5528,0,0,0
shareholder_event_lineage_ids_json,5528,0,0,0
component_release_ids_json,5528,0,0,0
row_hash,5528,0,0,0
authority,5528,0,0,0
trade_authority,5528,0,0,0
