symbol,name,market,asset_type,quote_date,close,previous_close,open,high,low,pct_change,change_amount,volume,turnover,provider,provider_timestamp,retrieved_at,validation_status
000333,美的集团,SZSE,A_SHARE,2026-07-20,84.3,82.71,81.23,84.5,81.11,1.92,1.59,547048.0,4571947510.88,EASTMONEY_QLIST,2026-07-20T15:34:09+08:00,2026-07-20T17:25:33+08:00,PASS
000938,紫光股份,SZSE,A_SHARE,2026-07-20,37.69,35.13,38.6,38.64,36.88,7.29,2.56,5027473.0,19188179650.21,EASTMONEY_QLIST,2026-07-20T15:34:57+08:00,2026-07-20T17:25:33+08:00,PASS
002371,北方华创,SZSE,A_SHARE,2026-07-20,676.91,677.0,704.0,716.66,659.1,-0.01,-0.09,174832.0,12040705471.24,EASTMONEY_QLIST,2026-07-20T15:34:30+08:00,2026-07-20T17:25:33+08:00,PASS
002396,星网锐捷,SZSE,A_SHARE,2026-07-20,28.74,29.95,30.0,31.69,26.99,-4.04,-1.21,2038105.0,6124316745.83,EASTMONEY_QLIST,2026-07-20T15:34:18+08:00,2026-07-20T17:25:33+08:00,PASS
002463,沪电股份,SZSE,A_SHARE,2026-07-20,115.02,127.8,130.35,131.48,115.02,-10.0,-12.78,874260.0,10440701013.63,EASTMONEY_QLIST,2026-07-20T15:34:12+08:00,2026-07-20T17:25:33+08:00,PASS
002475,立讯精密,SZSE,A_SHARE,2026-07-20,56.8,57.91,58.5,59.88,55.03,-1.92,-1.11,1351987.0,7807511009.08,EASTMONEY_QLIST,2026-07-20T15:34:54+08:00,2026-07-20T17:25:33+08:00,PASS
159352,A500ETF南方,SZSE,ETF,2026-07-20,1.252,1.238,1.249,1.265,1.226,1.13,0.014,37640655.0,4715144943.014,EASTMONEY_QLIST,2026-07-20T15:34:00+08:00,2026-07-20T17:25:33+08:00,PASS
159612,标普500ETF国泰,SZSE,ETF,2026-07-20,1.957,1.967,1.967,1.992,1.955,-0.51,-0.01,118414.0,23293604.988,EASTMONEY_QLIST,2026-07-20T15:34:18+08:00,2026-07-20T17:25:33+08:00,PASS
159655,标普500ETF华夏,SZSE,ETF,2026-07-20,1.896,1.902,1.903,1.911,1.894,-0.32,-0.006,330334.0,62877137.35,EASTMONEY_QLIST,2026-07-20T15:34:00+08:00,2026-07-20T17:25:33+08:00,PASS
300124,汇川技术,SZSE,A_SHARE,2026-07-20,59.73,59.12,59.5,61.64,57.32,1.03,0.61,436659.0,2570833699.89,EASTMONEY_QLIST,2026-07-20T15:34:18+08:00,2026-07-20T17:25:33+08:00,PASS
300308,中际旭创,SZSE,A_SHARE,2026-07-20,1004.0,979.46,1028.43,1057.77,967.68,2.51,24.54,453665.0,46094376323.78,EASTMONEY_QLIST,2026-07-20T15:34:27+08:00,2026-07-20T17:25:33+08:00,PASS
300750,宁德时代,SZSE,A_SHARE,2026-07-20,376.43,360.0,354.0,377.6,353.8,4.56,16.43,447908.0,16632779398.89,EASTMONEY_QLIST,2026-07-20T15:34:09+08:00,2026-07-20T17:25:33+08:00,PASS
300760,迈瑞医疗,SZSE,A_SHARE,2026-07-20,154.5,149.43,147.61,155.0,146.76,3.39,5.07,164064.0,2484639309.47,EASTMONEY_QLIST,2026-07-20T15:34:21+08:00,2026-07-20T17:25:33+08:00,PASS
510500,中证500ETF南方,SSE,ETF,2026-07-20,7.426,7.505,7.614,7.64,7.226,-1.05,-0.079,11709492.0,8720456391.0,EASTMONEY_QLIST,2026-07-20T16:11:36+08:00,2026-07-20T17:25:33+08:00,PASS
600018,上港集团,SSE,A_SHARE,2026-07-20,5.22,5.17,5.16,5.24,5.15,0.97,0.05,720720.0,375177792.0,EASTMONEY_QLIST,2026-07-20T16:11:58+08:00,2026-07-20T17:25:33+08:00,PASS
600036,招商银行,SSE,A_SHARE,2026-07-20,38.91,38.02,37.95,38.91,37.89,2.34,0.89,1433610.0,5534176002.0,EASTMONEY_QLIST,2026-07-20T16:12:00+08:00,2026-07-20T17:25:33+08:00,PASS
600276,恒瑞医药,SSE,A_SHARE,2026-07-20,55.57,53.19,52.97,55.78,52.9,4.47,2.38,1133069.0,6214720011.0,EASTMONEY_QLIST,2026-07-20T16:11:50+08:00,2026-07-20T17:25:33+08:00,PASS
600309,万华化学,SSE,A_SHARE,2026-07-20,71.99,70.04,70.07,71.99,68.88,2.78,1.95,603339.0,4274212919.0,EASTMONEY_QLIST,2026-07-20T16:11:33+08:00,2026-07-20T17:25:33+08:00,PASS
600406,国电南瑞,SSE,A_SHARE,2026-07-20,23.56,22.19,22.43,23.57,22.42,6.17,1.37,1604968.0,3719779539.0,EASTMONEY_QLIST,2026-07-20T16:11:48+08:00,2026-07-20T17:25:33+08:00,PASS
600519,贵州茅台,SSE,A_SHARE,2026-07-20,1327.5,1253.0,1270.0,1329.0,1266.0,5.95,74.5,106151.0,13898351084.0,EASTMONEY_QLIST,2026-07-20T16:11:34+08:00,2026-07-20T17:25:33+08:00,PASS
