as_of_date,overall_rank,research_priority,symbol,name,exchange,board,listing_status,industry_name,primary_sleeve,sleeves,sleeve_count,primary_sleeve_rank,primary_sleeve_rank_percentile,best_sleeve_score,normalized_primary_score,cross_sleeve_bonus,aggregate_score,score_basis,investability_status,factor_record_quality,confidence_grade,event_flag_count,avg_turnover_cny_20d,return_20d,return_60d,return_120d,return_250d,distance_52w_high,volatility_60d,max_drawdown_120d,screen_row_hash,next_workflow,authority,longlist_row_hash
2026-09-08,1,A_IMMEDIATE_RESEARCH,603268.SH,松发股份,SH,SH_MAIN,ACTIVE,,TREND_PERSISTENCE,TREND_PERSISTENCE,1,1,1.0,0.97827015,0.99348104,0.0,0.99348104,WITHIN_SLEEVE_RANK_PERCENTILE_PLUS_RAW_SCORE,ELIGIBLE_CORE,VALID,A,0,1040425899.15,0.11053391053391048,0.21464646464646453,0.581066644753061,2.4641699675909257,-0.009421819492354322,0.5752776085399495,-0.21068572813181485,6e74fa63e5d360d83d0640bb76e6a1097bc598384e36fda209a6481444b860f3,PUBLIC_EQUITY_INVESTING_IDEA_GENERATION,RESEARCH_PRIORITY_ONLY_NO_TRADE_AUTHORITY,a585864580d0a1c02d9f9d253a4bd0e57ac846bf38738a36d76e3b03f7696d55
2026-09-08,2,A_IMMEDIATE_RESEARCH,600127.SH,金健米业,SH,SH_MAIN,ACTIVE,,LIQUID_BREAKOUT,LIQUID_BREAKOUT,1,1,1.0,0.94148926,0.98244678,0.0,0.98244678,WITHIN_SLEEVE_RANK_PERCENTILE_PLUS_RAW_SCORE,ELIGIBLE_CORE,VALID,A,0,2014607415.95,1.4048780487804877,1.5325342465753424,1.0315934065934065,1.1098430813124107,0.0,0.6994039624735433,-0.32460732984293184,c86998c762fbf902b6bfbe2ab83ff5f1a461eb4e676fb32976f656bbf569afcf,PUBLIC_EQUITY_INVESTING_IDEA_GENERATION,RESEARCH_PRIORITY_ONLY_NO_TRADE_AUTHORITY,f45ee700cbf4c5b3379873357d8bb6c321f907f4b9938cbab1bfebd1bccc2c92
2026-09-08,3,A_IMMEDIATE_RESEARCH,002936.SZ,郑州银行,SZ,SZ_MAIN,ACTIVE,J 金融业,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY,1,1,1.0,0.94068556,0.98220567,0.0,0.98220567,WITHIN_SLEEVE_RANK_PERCENTILE_PLUS_RAW_SCORE,ELIGIBLE_CORE,VALID,A,0,161512430.1,0.016949152542372836,0.005586592178770999,-0.07692307692307687,-0.13043478260869557,-0.1428571428571429,0.19582198569912682,-0.14507772020725396,1b07dd7cb39961b20ffd5c8094fcb624f021d3ec6bf00a8392bf0ff96150de22,PUBLIC_EQUITY_INVESTING_IDEA_GENERATION,RESEARCH_PRIORITY_ONLY_NO_TRADE_AUTHORITY,cfffdc370d59332ab99f5d8c431bdb494559d7fc56387e9c186c20dc9de34ed0
2026-09-08,4,A_IMMEDIATE_RESEARCH,600613.SH,神奇制药,SH,SH_MAIN,ACTIVE,,RECOVERY_WATCH,RECOVERY_WATCH,1,1,1.0,0.9120344,0.97361032,0.0,0.97361032,WITHIN_SLEEVE_RANK_PERCENTILE_PLUS_RAW_SCORE,ELIGIBLE_CORE,VALID,A,0,984754094.15,0.9168278529980658,1.0432989690721652,0.619281045751634,0.4835329341317367,-0.20080645161290323,0.7360349100577835,-0.3221374045801526,61864fdcbd275ef97e9e98b21601001be86e14842e159c7beb6f912b49517ca3,PUBLIC_EQUITY_INVESTING_IDEA_GENERATION,RESEARCH_PRIORITY_ONLY_NO_TRADE_AUTHORITY,362e172d5a2b061b2761ff5da08b0027ff08a0afcddb1a5e01e699b413a3a849
2026-09-08,5,A_IMMEDIATE_RESEARCH,003040.SZ,楚天龙,SZ,SZ_MAIN,ACTIVE,C 制造业,RECOVERY_WATCH,RECOVERY_WATCH|LIQUID_BREAKOUT,2,2,0.96666667,0.90946651,0.94950662,0.02,0.96950662,WITHIN_SLEEVE_RANK_PERCENTILE_PLUS_RAW_SCORE,ELIGIBLE_CORE,VALID,A,0,1235518938.45,0.7658730158730158,0.8480066445182726,0.2958648806057076,-0.07981803143093469,-0.1046277665995976,0.7519540236431417,-0.4201631701631702,8e4dd32544f4477477c415307183f29094f3efdc6e29293b91c410ce9c14a341,PUBLIC_EQUITY_INVESTING_IDEA_GENERATION,RESEARCH_PRIORITY_ONLY_NO_TRADE_AUTHORITY,5082ed3b90eb8345e5abc9ec323985176344c203497dca854ef1ce8bfcfc46a7
2026-09-08,6,A_IMMEDIATE_RESEARCH,688309.SH,恒誉科技,SH,STAR,ACTIVE,,TREND_PERSISTENCE,TREND_PERSISTENCE,1,2,0.975,0.95627121,0.96938136,0.0,0.96938136,WITHIN_SLEEVE_RANK_PERCENTILE_PLUS_RAW_SCORE,ELIGIBLE_CORE,VALID,A,0,161418072.6,0.09157754010695207,0.41655100624566277,0.5620814999043429,1.9540520984081042,-0.05954849113107563,0.6265960887335603,-0.3663902326652845,a89677e3ab312c41ab027bd36e36dc4a85567271a7c92cdec4ee39c750da9dd4,PUBLIC_EQUITY_INVESTING_IDEA_GENERATION,RESEARCH_PRIORITY_ONLY_NO_TRADE_AUTHORITY,bf6670a0922d3f54cce9cd04f1ccdc5f64323b1c1f9964ce6799c40804d5605f
2026-09-08,7,A_IMMEDIATE_RESEARCH,301109.SZ,军信股份,SZ,CHINEXT,ACTIVE,N 公共环保,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY,1,2,0.975,0.9369317,0.96357951,0.0,0.96357951,WITHIN_SLEEVE_RANK_PERCENTILE_PLUS_RAW_SCORE,ELIGIBLE_CORE,VALID,A,0,48459530.05,-0.06204906204906202,-0.041297935103244865,-0.19802590993214064,-0.11262798634812288,-0.24898902368573073,0.21673343282379712,-0.251201923076923,ef73cf70c3dd2f7a64d479f3f48182ab2094b278a650afd3ea3859ffd93e2bcf,PUBLIC_EQUITY_INVESTING_IDEA_GENERATION,RESEARCH_PRIORITY_ONLY_NO_TRADE_AUTHORITY,96423e223505d66ab7b019f5337bcd67f7f368377123eb4f432c660ef59baa82
2026-09-08,8,A_IMMEDIATE_RESEARCH,600479.SH,千金药业,SH,SH_MAIN,ACTIVE,,LIQUID_BREAKOUT,LIQUID_BREAKOUT,1,2,0.975,0.92693692,0.96058107,0.0,0.96058107,WITHIN_SLEEVE_RANK_PERCENTILE_PLUS_RAW_SCORE,ELIGIBLE_CORE,VALID,A,0,724324507.5,0.49595959595959593,0.5671957671957675,0.41047619047619044,0.41316793893129766,0.0,0.5764517162514752,-0.1484962406015038,704fdcba92107cde616930c580e3c6f9f89f7c982ca37249ffcca2b2a8331c7e,PUBLIC_EQUITY_INVESTING_IDEA_GENERATION,RESEARCH_PRIORITY_ONLY_NO_TRADE_AUTHORITY,6204ecf347f305edcc6af2ab7a27ba0087ccd3fbaca356686f3fec650100b179
2026-09-08,9,A_IMMEDIATE_RESEARCH,301122.SZ,采纳股份,SZ,CHINEXT,ACTIVE,C 制造业,TREND_PERSISTENCE,TREND_PERSISTENCE|LIQUID_BREAKOUT,2,4,0.925,0.95086445,0.93275934,0.02,0.95275934,WITHIN_SLEEVE_RANK_PERCENTILE_PLUS_RAW_SCORE,ELIGIBLE_CORE,VALID,A,0,227014095.25,0.41967621419676227,0.8796372629843363,0.46576663452266165,1.0457604306864066,-0.02145922746781115,0.7569394543360661,-0.3025894675589177,466d06f701a4101132fef8b7c44af139d0343a91d29ac9977c8b98052226495c,PUBLIC_EQUITY_INVESTING_IDEA_GENERATION,RESEARCH_PRIORITY_ONLY_NO_TRADE_AUTHORITY,2450cac72cb5be9db726194a96a93eec22caa4ba97575183c9a27c7a6831903f
2026-09-08,10,A_IMMEDIATE_RESEARCH,600428.SH,中远海特,SH,SH_MAIN,ACTIVE,,TREND_PERSISTENCE,TREND_PERSISTENCE,1,3,0.95,0.95322744,0.95096823,0.0,0.95096823,WITHIN_SLEEVE_RANK_PERCENTILE_PLUS_RAW_SCORE,ELIGIBLE_CORE,VALID,A,0,550829898.1,-0.007874015748031482,0.42641509433962255,0.4139650872817955,0.7718749999999999,-0.06203473945409432,0.5109122297931823,-0.22103004291845496,875a4a743dca36e2e7d0fba40b39ca6ab035e045fc84a930239388eb22944c6a,PUBLIC_EQUITY_INVESTING_IDEA_GENERATION,RESEARCH_PRIORITY_ONLY_NO_TRADE_AUTHORITY,d4cbeaaeda8b9322d3b296886f3f3a6244c5d0b413f5eb96e08c02191392ee89
