as_of_date,overall_rank,research_priority,symbol,name,exchange,board,listing_status,industry_name,primary_sleeve,sleeves,sleeve_count,primary_sleeve_rank,primary_sleeve_rank_percentile,best_sleeve_score,normalized_primary_score,cross_sleeve_bonus,aggregate_score,score_basis,investability_status,factor_record_quality,confidence_grade,event_flag_count,avg_turnover_cny_20d,return_20d,return_60d,return_120d,return_250d,distance_52w_high,volatility_60d,max_drawdown_120d,screen_row_hash,next_workflow,authority,longlist_row_hash
2026-09-14,1,A_IMMEDIATE_RESEARCH,603268.SH,松发股份,SH,SH_MAIN,ACTIVE,,TREND_PERSISTENCE,TREND_PERSISTENCE,1,1,1.0,0.98566999,0.995701,0.0,0.995701,WITHIN_SLEEVE_RANK_PERCENTILE_PLUS_RAW_SCORE,ELIGIBLE_CORE,VALID,A,0,1028802604.65,0.0666121112929623,0.3315398760471291,0.6625000000000001,2.6888679245283016,-0.020441905907109592,0.5631075739198727,-0.21068572813181485,ce79f25e1c868c5b36449ba7f1a0bde3bc0d721c61e45309f41522be0558a64f,PUBLIC_EQUITY_INVESTING_IDEA_GENERATION,RESEARCH_PRIORITY_ONLY_NO_TRADE_AUTHORITY,ced8276edb4ab19a86ab3c7c8799622f92bb07a26dd432b394ed272014191aab
2026-09-14,2,A_IMMEDIATE_RESEARCH,601086.SH,国芳集团,SH,SH_MAIN,ACTIVE,,RECOVERY_WATCH,RECOVERY_WATCH|LIQUID_BREAKOUT,2,1,1.0,0.90208025,0.97062408,0.02,0.99062408,WITHIN_SLEEVE_RANK_PERCENTILE_PLUS_RAW_SCORE,ELIGIBLE_CORE,VALID,A,0,611750030.05,1.285895806861499,1.5626780626780628,1.2292441140024781,0.5054393305439331,0.0,0.652618911953726,-0.2763157894736842,00727638a93f4f2fd7bb1285e39076253b89c67b35592aedaec676bdc62a222e,PUBLIC_EQUITY_INVESTING_IDEA_GENERATION,RESEARCH_PRIORITY_ONLY_NO_TRADE_AUTHORITY,9945410947fb2ac8a9db326d14667b41aa56ece3f0047713c1dc6be285abcdcc
2026-09-14,3,A_IMMEDIATE_RESEARCH,002936.SZ,郑州银行,SZ,SZ_MAIN,ACTIVE,J 金融业,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY,1,1,1.0,0.94229839,0.98268952,0.0,0.98268952,WITHIN_SLEEVE_RANK_PERCENTILE_PLUS_RAW_SCORE,ELIGIBLE_CORE,VALID,A,0,170756145.0,0.011363636363636465,0.03488372093023262,-0.02732240437158473,-0.14832535885167453,-0.1523809523809524,0.1893092771868363,-0.12698412698412698,94222a06ed240f2f0fd882656ffebaf88d669f688fd9aba783c62d7bba0ea4fe,PUBLIC_EQUITY_INVESTING_IDEA_GENERATION,RESEARCH_PRIORITY_ONLY_NO_TRADE_AUTHORITY,cdfbb78cd0d78a9b76d4ce625fb86202c94833d49c6ce7865b46eac9693d0e37
2026-09-14,4,A_IMMEDIATE_RESEARCH,600127.SH,金健米业,SH,SH_MAIN,ACTIVE,,LIQUID_BREAKOUT,LIQUID_BREAKOUT,1,1,1.0,0.94031769,0.98209531,0.0,0.98209531,WITHIN_SLEEVE_RANK_PERCENTILE_PLUS_RAW_SCORE,ELIGIBLE_CORE,VALID,A,0,2648123962.35,1.193498452012384,1.571687840290381,1.1699846860643186,1.0388489208633094,-0.04192021636240695,0.7077288544543645,-0.32460732984293184,625cd0e1fe9779b070369a179d348dfbb6d161e549385630404af8c624959388,PUBLIC_EQUITY_INVESTING_IDEA_GENERATION,RESEARCH_PRIORITY_ONLY_NO_TRADE_AUTHORITY,01be72c9116702b4fdad1d76394221602e72ccd3ee869fd68c797d7a47c3b3e0
2026-09-14,5,A_IMMEDIATE_RESEARCH,600428.SH,中远海特,SH,SH_MAIN,ACTIVE,,TREND_PERSISTENCE,TREND_PERSISTENCE,1,2,0.975,0.95451651,0.96885495,0.0,0.96885495,WITHIN_SLEEVE_RANK_PERCENTILE_PLUS_RAW_SCORE,ELIGIBLE_CORE,VALID,A,0,533797842.05,-0.040609137055837574,0.4336283185840708,0.4765625,0.7260273972602738,-0.06203473945409432,0.5110110382706327,-0.22103004291845496,3840bf04c93d650698fcc98c72978b56ff443fa3956e6a2393d481734e725b45,PUBLIC_EQUITY_INVESTING_IDEA_GENERATION,RESEARCH_PRIORITY_ONLY_NO_TRADE_AUTHORITY,864f9416a022214a09c6946fe37229e5e2e445c5679e5300ccc35e87de489584
2026-09-14,6,A_IMMEDIATE_RESEARCH,600371.SH,万向德农,SH,SH_MAIN,ACTIVE,,RECOVERY_WATCH,RECOVERY_WATCH|LIQUID_BREAKOUT,2,2,0.96666667,0.8967333,0.94568666,0.02,0.96568666,WITHIN_SLEEVE_RANK_PERCENTILE_PLUS_RAW_SCORE,ELIGIBLE_CORE,VALID,A,0,705196284.55,0.9202702702702703,1.12089552238806,0.803299492385787,0.5667034178610806,-0.10233733417561586,0.7565004316861336,-0.28767123287671226,dc4deb3c64c700a97c84fd470b7d5754dfb9d37c24999a5e872b065997d29ac4,PUBLIC_EQUITY_INVESTING_IDEA_GENERATION,RESEARCH_PRIORITY_ONLY_NO_TRADE_AUTHORITY,1a85c13d71b529511768d4d5ad15ec35db69cbf62a9e7bd473e99f452fde3105
2026-09-14,7,A_IMMEDIATE_RESEARCH,000598.SZ,兴蓉环境,SZ,SZ_MAIN,ACTIVE,D 水电煤气,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY,1,2,0.975,0.93811058,0.96393317,0.0,0.96393317,WITHIN_SLEEVE_RANK_PERCENTILE_PLUS_RAW_SCORE,ELIGIBLE_CORE,VALID,A,0,122208336.1,0.0,0.10681114551083604,0.13672496025437209,0.09494640122511488,-0.037685060565275874,0.18505379575097328,-0.10404624277456642,a1f4ca218d00357c0f22f71956c8d8f18ec56a4df6e8bfad94b0c9bdd4a94420,PUBLIC_EQUITY_INVESTING_IDEA_GENERATION,RESEARCH_PRIORITY_ONLY_NO_TRADE_AUTHORITY,5f05ee0ddf004f5dd80935e59bb59781f9fc951ea8df419cda9b4f8536de6b9e
2026-09-14,8,A_IMMEDIATE_RESEARCH,301122.SZ,采纳股份,SZ,CHINEXT,ACTIVE,C 制造业,TREND_PERSISTENCE,TREND_PERSISTENCE|LIQUID_BREAKOUT,2,4,0.925,0.9412512,0.92987536,0.02,0.94987536,WITHIN_SLEEVE_RANK_PERCENTILE_PLUS_RAW_SCORE,ELIGIBLE_CORE,VALID,A,0,244497344.4,0.26741944367942727,0.7006651884700668,0.6023676880222844,1.1315423807318203,-0.017716115261472765,0.7555669672308764,-0.3025894675589177,69e19afd4b2e15ff9497e9d5f8679a865c6514f431ab8cebf45415c55249b365,PUBLIC_EQUITY_INVESTING_IDEA_GENERATION,RESEARCH_PRIORITY_ONLY_NO_TRADE_AUTHORITY,a3cc13300e21dab034e8eda08f4943a92c2d39b2aa7d85bc9ecafeb6c685278e
2026-09-14,9,A_IMMEDIATE_RESEARCH,000518.SZ,四环生物,SZ,SZ_MAIN,ACTIVE,C 制造业,TREND_PERSISTENCE,TREND_PERSISTENCE,1,3,0.95,0.94315017,0.94794505,0.0,0.94794505,WITHIN_SLEEVE_RANK_PERCENTILE_PLUS_RAW_SCORE,ELIGIBLE_CORE,VALID,A,0,202961645.5,-0.0418719211822659,0.2232704402515724,0.3321917808219179,0.6839826839826839,-0.14317180616740088,0.5007237687060335,-0.31718061674008813,6b5daf1c25cc58c7670610359e799c3295276a09b9cc4cd35f223b270fd3f50a,PUBLIC_EQUITY_INVESTING_IDEA_GENERATION,RESEARCH_PRIORITY_ONLY_NO_TRADE_AUTHORITY,7d700df369046b41cdcf71ea38d22d542e78064790fb3e6b659c39457438743f
2026-09-14,10,A_IMMEDIATE_RESEARCH,300230.SZ,永利股份,SZ,CHINEXT,ACTIVE,C 制造业,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY,1,3,0.95,0.93669301,0.9460079,0.0,0.9460079,WITHIN_SLEEVE_RANK_PERCENTILE_PLUS_RAW_SCORE,ELIGIBLE_CORE,VALID,A,0,33462574.15,0.007025761124121788,0.0,0.002331002331002363,-0.1568627450980392,-0.19324577861163228,0.23024180009688608,-0.18787878787878798,609885c8b8e2b8e78ad92a2bfa5a629989e924526a570f3f3f5b01d1c8011762,PUBLIC_EQUITY_INVESTING_IDEA_GENERATION,RESEARCH_PRIORITY_ONLY_NO_TRADE_AUTHORITY,62b9b23039d576c1b5049299cf0af6b2faef8e89603774d3de9decfa397ecde3
2026-09-14,11,A_IMMEDIATE_RESEARCH,000978.SZ,桂林旅游,SZ,SZ_MAIN,ACTIVE,N 公共环保,LIQUID_BREAKOUT,LIQUID_BREAKOUT,1,3,0.95,0.91530939,0.93959282,0.0,0.93959282,WITHIN_SLEEVE_RANK_PERCENTILE_PLUS_RAW_SCORE,ELIGIBLE_CORE,VALID,A,0,346247336.3,0.7832512315270936,0.9567567567567568,0.6915887850467288,0.5807860262008733,0.0,0.5086787271537007,-0.38588235294117645,88312ba2b4f7ecadb80561745a4e97a598da4609430f3ba0d084a79b5e17a492,PUBLIC_EQUITY_INVESTING_IDEA_GENERATION,RESEARCH_PRIORITY_ONLY_NO_TRADE_AUTHORITY,01909c550f668d2371ce19e288bfdaee64684e742c1678c22a1d816ecd1b869c
2026-09-14,12,A_IMMEDIATE_RESEARCH,000900.SZ,现代投资,SZ,SZ_MAIN,ACTIVE,G 运输仓储,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY,1,4,0.925,0.93350976,0.92755293,0.0,0.92755293,WITHIN_SLEEVE_RANK_PERCENTILE_PLUS_RAW_SCORE,ELIGIBLE_CORE,VALID,A,0,46312107.75,-0.01897018970189701,0.0,-0.039787798408488007,-0.11491442542787278,-0.1502347417840375,0.1822344206582658,-0.1519607843137255,eb9c78c680e954e2b6ad5f931e33eaa80076ca5b9f17e2929c4cc71263bbb595,PUBLIC_EQUITY_INVESTING_IDEA_GENERATION,RESEARCH_PRIORITY_ONLY_NO_TRADE_AUTHORITY,55698aa929b1ba86bac547d8cc87b94e8baadf451ff164852a182a2f43a0e260
2026-09-14,13,A_IMMEDIATE_RESEARCH,688485.SH,九州一轨,SH,STAR,ACTIVE,,LIQUID_BREAKOUT,LIQUID_BREAKOUT,1,4,0.925,0.91297466,0.9213924,0.0,0.9213924,WITHIN_SLEEVE_RANK_PERCENTILE_PLUS_RAW_SCORE,ELIGIBLE_CORE,VALID,A,0,735611129.65,0.22803295057413875,0.3614224436142246,3.2927574171029663,6.342537313432835,-0.030162641695416492,1.0743759565421513,-0.38383838383838376,33fb6687663fd0bfe6055c50e315197b50646206eb2475d2ac28446eb68ab979,PUBLIC_EQUITY_INVESTING_IDEA_GENERATION,RESEARCH_PRIORITY_ONLY_NO_TRADE_AUTHORITY,6458e0bffe4da0bd4199af099a7993f6df9b61e151d810888348cf16b8088ab9
