as_of_date,overall_rank,research_priority,symbol,name,primary_sleeve,flag_count,structural_fragility_flag,risk_flags
2026-07-17,1,A_IMMEDIATE_RESEARCH,600900.SH,XD长江电,DEFENSIVE_STABILITY,0,False,NONE
2026-07-17,2,A_IMMEDIATE_RESEARCH,688498.SH,源杰科技,TREND_PERSISTENCE,2,True,SINGLE_SLEEVE|NEGATIVE_20D_RETURN
2026-07-17,3,A_IMMEDIATE_RESEARCH,000779.SZ,甘咨询,RECOVERY_WATCH,0,False,NONE
2026-07-17,4,A_IMMEDIATE_RESEARCH,603823.SH,百合花,LIQUID_BREAKOUT,1,False,SINGLE_SLEEVE
2026-07-17,5,A_IMMEDIATE_RESEARCH,300308.SZ,中际旭创,TREND_PERSISTENCE,2,True,SINGLE_SLEEVE|NEGATIVE_20D_RETURN
2026-07-17,6,A_IMMEDIATE_RESEARCH,601818.SH,光大银行,DEFENSIVE_STABILITY,1,False,SINGLE_SLEEVE
2026-07-17,7,A_IMMEDIATE_RESEARCH,000938.SZ,紫光股份,LIQUID_BREAKOUT,1,False,SINGLE_SLEEVE
2026-07-17,8,A_IMMEDIATE_RESEARCH,603268.SH,松发股份,TREND_PERSISTENCE,2,True,SINGLE_SLEEVE|NEGATIVE_20D_RETURN
2026-07-17,9,A_IMMEDIATE_RESEARCH,000333.SZ,美的集团,DEFENSIVE_STABILITY,0,False,NONE
2026-07-17,10,A_IMMEDIATE_RESEARCH,002936.SZ,郑州银行,DEFENSIVE_STABILITY,1,False,SINGLE_SLEEVE
2026-07-17,11,A_IMMEDIATE_RESEARCH,002422.SZ,科伦药业,LIQUID_BREAKOUT,1,False,SINGLE_SLEEVE
2026-07-17,12,A_IMMEDIATE_RESEARCH,603501.SH,豪威集团,RECOVERY_WATCH,1,False,SINGLE_SLEEVE
2026-07-17,13,A_IMMEDIATE_RESEARCH,002718.SZ,友邦吊顶,TREND_PERSISTENCE,2,True,SINGLE_SLEEVE|NEGATIVE_20D_RETURN
2026-07-17,14,A_IMMEDIATE_RESEARCH,002396.SZ,星网锐捷,LIQUID_BREAKOUT,1,False,SINGLE_SLEEVE
2026-07-17,15,A_IMMEDIATE_RESEARCH,002937.SZ,兴瑞科技,TREND_PERSISTENCE,2,True,SINGLE_SLEEVE|NEGATIVE_20D_RETURN
2026-07-17,16,A_IMMEDIATE_RESEARCH,603669.SH,灵康药业,RECOVERY_WATCH,0,False,NONE
2026-07-17,17,A_IMMEDIATE_RESEARCH,301206.SZ,三元生物,DEFENSIVE_STABILITY,2,True,SINGLE_SLEEVE|LIQUIDITY_NEAR_FLOOR
2026-07-17,18,A_IMMEDIATE_RESEARCH,603757.SH,大元泵业,LIQUID_BREAKOUT,1,False,SINGLE_SLEEVE
2026-07-17,19,A_IMMEDIATE_RESEARCH,688669.SH,聚石化学,TREND_PERSISTENCE,1,False,SINGLE_SLEEVE
2026-07-17,20,A_IMMEDIATE_RESEARCH,600018.SH,上港集团,DEFENSIVE_STABILITY,0,False,NONE
2026-07-17,21,B_WATCH_OR_TRIGGER,920020.BJ,泰凯英,DEFENSIVE_STABILITY,2,True,SINGLE_SLEEVE|NON_VALID_FACTOR_RECORD
2026-07-17,22,B_WATCH_OR_TRIGGER,301165.SZ,锐捷网络,LIQUID_BREAKOUT,1,False,SINGLE_SLEEVE
2026-07-17,23,B_WATCH_OR_TRIGGER,300759.SZ,康龙化成,RECOVERY_WATCH,0,False,NONE
2026-07-17,24,B_WATCH_OR_TRIGGER,002768.SZ,国恩股份,TREND_PERSISTENCE,2,True,SINGLE_SLEEVE|NEGATIVE_20D_RETURN
2026-07-17,25,B_WATCH_OR_TRIGGER,002841.SZ,视源股份,LIQUID_BREAKOUT,1,False,SINGLE_SLEEVE
2026-07-17,26,B_WATCH_OR_TRIGGER,920367.BJ,新赣江,RECOVERY_WATCH,1,False,LARGE_120D_DRAWDOWN
2026-07-17,27,B_WATCH_OR_TRIGGER,002371.SZ,北方华创,TREND_PERSISTENCE,2,True,SINGLE_SLEEVE|NEGATIVE_20D_RETURN
2026-07-17,28,B_WATCH_OR_TRIGGER,002142.SZ,宁波银行,DEFENSIVE_STABILITY,1,False,SINGLE_SLEEVE
2026-07-17,29,B_WATCH_OR_TRIGGER,920015.BJ,锦华新材,LIQUID_BREAKOUT,3,True,SINGLE_SLEEVE|NON_VALID_FACTOR_RECORD|LARGE_120D_DRAWDOWN
2026-07-17,30,B_WATCH_OR_TRIGGER,000668.SZ,荣丰控股,TREND_PERSISTENCE,2,True,SINGLE_SLEEVE|NEGATIVE_20D_RETURN
2026-07-17,31,B_WATCH_OR_TRIGGER,001227.SZ,兰州银行,DEFENSIVE_STABILITY,1,False,SINGLE_SLEEVE
2026-07-17,32,B_WATCH_OR_TRIGGER,688266.SH,泽璟制药,RECOVERY_WATCH,0,False,NONE
2026-07-17,33,B_WATCH_OR_TRIGGER,601928.SH,凤凰传媒,DEFENSIVE_STABILITY,1,False,SINGLE_SLEEVE
2026-07-17,34,B_WATCH_OR_TRIGGER,301365.SZ,矩阵股份,TREND_PERSISTENCE,2,True,SINGLE_SLEEVE|NEGATIVE_20D_RETURN
2026-07-17,35,B_WATCH_OR_TRIGGER,002653.SZ,海思科,LIQUID_BREAKOUT,1,False,SINGLE_SLEEVE
2026-07-17,36,B_WATCH_OR_TRIGGER,601229.SH,上海银行,DEFENSIVE_STABILITY,1,False,SINGLE_SLEEVE
2026-07-17,37,B_WATCH_OR_TRIGGER,000691.SZ,亚太实业,TREND_PERSISTENCE,2,True,SINGLE_SLEEVE|NEGATIVE_20D_RETURN
2026-07-17,38,B_WATCH_OR_TRIGGER,601211.SH,国泰海通,RECOVERY_WATCH,1,False,SINGLE_SLEEVE
2026-07-17,39,B_WATCH_OR_TRIGGER,600919.SH,江苏银行,DEFENSIVE_STABILITY,1,False,SINGLE_SLEEVE
2026-07-17,40,B_WATCH_OR_TRIGGER,603139.SH,康惠股份,TREND_PERSISTENCE,2,True,SINGLE_SLEEVE|NEGATIVE_20D_RETURN
2026-07-17,41,B_WATCH_OR_TRIGGER,000759.SZ,中百集团,RECOVERY_WATCH,2,True,SINGLE_SLEEVE|LARGE_120D_DRAWDOWN
2026-07-17,42,B_WATCH_OR_TRIGGER,601985.SH,XD中国核,DEFENSIVE_STABILITY,2,True,SINGLE_SLEEVE|NEGATIVE_20D_RETURN
2026-07-17,43,B_WATCH_OR_TRIGGER,601918.SH,新集能源,TREND_PERSISTENCE,1,False,SINGLE_SLEEVE
2026-07-17,44,B_WATCH_OR_TRIGGER,300105.SZ,龙源技术,RECOVERY_WATCH,0,False,NONE
2026-07-17,45,B_WATCH_OR_TRIGGER,000977.SZ,浪潮信息,LIQUID_BREAKOUT,1,False,SINGLE_SLEEVE
2026-07-17,46,B_WATCH_OR_TRIGGER,000598.SZ,兴蓉环境,DEFENSIVE_STABILITY,1,False,SINGLE_SLEEVE
2026-07-17,47,B_WATCH_OR_TRIGGER,301273.SZ,瑞晨环保,TREND_PERSISTENCE,2,True,SINGLE_SLEEVE|NEGATIVE_20D_RETURN
2026-07-17,48,B_WATCH_OR_TRIGGER,002141.SZ,贤丰控股,LIQUID_BREAKOUT,1,False,SINGLE_SLEEVE
2026-07-17,49,B_WATCH_OR_TRIGGER,002507.SZ,涪陵榨菜,DEFENSIVE_STABILITY,1,False,SINGLE_SLEEVE
2026-07-17,50,B_WATCH_OR_TRIGGER,301072.SZ,中捷精工,TREND_PERSISTENCE,2,True,SINGLE_SLEEVE|NEGATIVE_20D_RETURN
2026-07-17,51,B_WATCH_OR_TRIGGER,002536.SZ,飞龙股份,LIQUID_BREAKOUT,1,False,SINGLE_SLEEVE
2026-07-17,52,B_WATCH_OR_TRIGGER,688036.SH,传音控股,RECOVERY_WATCH,1,False,SINGLE_SLEEVE
2026-07-17,53,B_WATCH_OR_TRIGGER,601668.SH,中国建筑,DEFENSIVE_STABILITY,1,False,SINGLE_SLEEVE
2026-07-17,54,B_WATCH_OR_TRIGGER,605186.SH,健麾信息,TREND_PERSISTENCE,2,True,SINGLE_SLEEVE|NEGATIVE_20D_RETURN
2026-07-17,55,B_WATCH_OR_TRIGGER,603466.SH,风语筑,LIQUID_BREAKOUT,1,False,SINGLE_SLEEVE
2026-07-17,56,B_WATCH_OR_TRIGGER,300999.SZ,金龙鱼,DEFENSIVE_STABILITY,1,False,SINGLE_SLEEVE
2026-07-17,57,B_WATCH_OR_TRIGGER,688103.SH,国力电子,RECOVERY_WATCH,1,False,SINGLE_SLEEVE
2026-07-17,58,B_WATCH_OR_TRIGGER,300225.SZ,金力泰,TREND_PERSISTENCE,2,True,SINGLE_SLEEVE|NEGATIVE_20D_RETURN
2026-07-17,59,B_WATCH_OR_TRIGGER,600664.SH,哈药股份,RECOVERY_WATCH,0,False,NONE
2026-07-17,60,B_WATCH_OR_TRIGGER,002821.SZ,凯莱英,LIQUID_BREAKOUT,1,False,SINGLE_SLEEVE
2026-07-17,61,C_SCREEN_FLAG_ONLY,601328.SH,交通银行,DEFENSIVE_STABILITY,1,False,SINGLE_SLEEVE
2026-07-17,62,C_SCREEN_FLAG_ONLY,300938.SZ,信测标准,TREND_PERSISTENCE,2,True,SINGLE_SLEEVE|NEGATIVE_20D_RETURN
2026-07-17,63,C_SCREEN_FLAG_ONLY,603893.SH,瑞芯微,LIQUID_BREAKOUT,1,False,SINGLE_SLEEVE
2026-07-17,64,C_SCREEN_FLAG_ONLY,000088.SZ,盐 田 港,DEFENSIVE_STABILITY,1,False,SINGLE_SLEEVE
2026-07-17,65,C_SCREEN_FLAG_ONLY,002832.SZ,比音勒芬,TREND_PERSISTENCE,1,False,SINGLE_SLEEVE
2026-07-17,66,C_SCREEN_FLAG_ONLY,300832.SZ,新产业,RECOVERY_WATCH,1,False,SINGLE_SLEEVE
2026-07-17,67,C_SCREEN_FLAG_ONLY,600016.SH,民生银行,DEFENSIVE_STABILITY,1,False,SINGLE_SLEEVE
2026-07-17,68,C_SCREEN_FLAG_ONLY,603259.SH,药明康德,LIQUID_BREAKOUT,0,False,NONE
2026-07-17,69,C_SCREEN_FLAG_ONLY,300440.SZ,运达科技,TREND_PERSISTENCE,1,False,SINGLE_SLEEVE
2026-07-17,70,C_SCREEN_FLAG_ONLY,603127.SH,昭衍新药,LIQUID_BREAKOUT,2,True,SINGLE_SLEEVE|LARGE_120D_DRAWDOWN
2026-07-17,71,C_SCREEN_FLAG_ONLY,601128.SH,常熟银行,DEFENSIVE_STABILITY,2,True,SINGLE_SLEEVE|NEGATIVE_20D_RETURN
2026-07-17,72,C_SCREEN_FLAG_ONLY,000651.SZ,格力电器,RECOVERY_WATCH,1,False,SINGLE_SLEEVE
2026-07-17,73,C_SCREEN_FLAG_ONLY,001314.SZ,亿道信息,TREND_PERSISTENCE,1,False,SINGLE_SLEEVE
2026-07-17,74,C_SCREEN_FLAG_ONLY,000538.SZ,云南白药,DEFENSIVE_STABILITY,1,False,SINGLE_SLEEVE
2026-07-17,75,C_SCREEN_FLAG_ONLY,300661.SZ,圣邦股份,TREND_PERSISTENCE,2,True,SINGLE_SLEEVE|NEGATIVE_20D_RETURN
2026-07-17,76,C_SCREEN_FLAG_ONLY,300765.SZ,石药创新,RECOVERY_WATCH,3,True,SINGLE_SLEEVE|BOTTOM_QUARTILE_RANK|LARGE_120D_DRAWDOWN
2026-07-17,77,C_SCREEN_FLAG_ONLY,601398.SH,工商银行,DEFENSIVE_STABILITY,1,False,BOTTOM_QUARTILE_RANK
2026-07-17,78,C_SCREEN_FLAG_ONLY,920599.BJ,同力股份,DEFENSIVE_STABILITY,3,True,SINGLE_SLEEVE|BOTTOM_QUARTILE_RANK|NEGATIVE_20D_RETURN
2026-07-17,79,C_SCREEN_FLAG_ONLY,301536.SZ,星宸科技,TREND_PERSISTENCE,3,True,SINGLE_SLEEVE|BOTTOM_QUARTILE_RANK|NEGATIVE_20D_RETURN
2026-07-17,80,C_SCREEN_FLAG_ONLY,301092.SZ,争光股份,LIQUID_BREAKOUT,2,True,SINGLE_SLEEVE|BOTTOM_QUARTILE_RANK
2026-07-17,81,C_SCREEN_FLAG_ONLY,300723.SZ,一品红,RECOVERY_WATCH,2,True,SINGLE_SLEEVE|BOTTOM_QUARTILE_RANK
2026-07-17,82,C_SCREEN_FLAG_ONLY,688425.SH,铁建重工,DEFENSIVE_STABILITY,3,True,SINGLE_SLEEVE|BOTTOM_QUARTILE_RANK|NEGATIVE_20D_RETURN
2026-07-17,83,C_SCREEN_FLAG_ONLY,600428.SH,中远海特,TREND_PERSISTENCE,1,False,BOTTOM_QUARTILE_RANK
2026-07-17,84,C_SCREEN_FLAG_ONLY,603983.SH,丸美生物,RECOVERY_WATCH,3,True,SINGLE_SLEEVE|BOTTOM_QUARTILE_RANK|LARGE_120D_DRAWDOWN
2026-07-17,85,C_SCREEN_FLAG_ONLY,600236.SH,桂冠电力,TREND_PERSISTENCE,2,True,SINGLE_SLEEVE|BOTTOM_QUARTILE_RANK
2026-07-17,86,C_SCREEN_FLAG_ONLY,603991.SH,领先股份,LIQUID_BREAKOUT,2,True,SINGLE_SLEEVE|BOTTOM_QUARTILE_RANK
2026-07-17,87,C_SCREEN_FLAG_ONLY,601006.SH,大秦铁路,DEFENSIVE_STABILITY,3,True,SINGLE_SLEEVE|BOTTOM_QUARTILE_RANK|NEGATIVE_20D_RETURN
