as_of_date,overall_rank,research_priority,symbol,name,exchange,board,listing_status,industry_name,primary_sleeve,sleeves,sleeve_count,primary_sleeve_rank,primary_sleeve_rank_percentile,best_sleeve_score,normalized_primary_score,cross_sleeve_bonus,aggregate_score,score_basis,investability_status,factor_record_quality,confidence_grade,event_flag_count,avg_turnover_cny_20d,return_20d,return_60d,return_120d,return_250d,distance_52w_high,volatility_60d,max_drawdown_120d,screen_row_hash,next_workflow,authority,longlist_row_hash,replay_date
2026-07-10,1,A_IMMEDIATE_RESEARCH,301200.SZ,大族数控,SZ,CHINEXT,ACTIVE,C 制造业,TREND_PERSISTENCE,TREND_PERSISTENCE,1,1,1.0,0.9738764,0.99216292,0.0,0.99216292,WITHIN_SLEEVE_RANK_PERCENTILE_PLUS_RAW_SCORE,ELIGIBLE_CORE,VALID,A,0,1598108977.5,0.2771294994108482,0.8386779030316296,1.6252050941479803,6.9338842975206605,-0.13299272333178513,0.7433461115734763,-0.18976105692315637,b512fc2408eecfaec0c04fbc0b487c81d2bf1644acdd7f3ce51eb547999a66f8,PUBLIC_EQUITY_INVESTING_IDEA_GENERATION,RESEARCH_PRIORITY_ONLY_NO_TRADE_AUTHORITY,743aae34e7ce982443cf70de9ea4c7545e2738abb7ef1abc80d8cc073922e6c3,2026-07-10
2026-07-10,2,A_IMMEDIATE_RESEARCH,600900.SH,XD长江电,SH,SH_MAIN,ACTIVE,,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY,1,1,1.0,0.94814425,0.98444328,0.0,0.98444328,WITHIN_SLEEVE_RANK_PERCENTILE_PLUS_RAW_SCORE,ELIGIBLE_CORE,VALID,A,0,3471272026.8,0.005164146071560349,0.06113707165109039,0.03651578546976042,-0.039139633286318753,-0.05381944444444442,0.150024697187968,-0.0727537286285922,19105c2d9ee5770c1c2422e309791f02dbe02a2f9931a66bafb741e017832b20,PUBLIC_EQUITY_INVESTING_IDEA_GENERATION,RESEARCH_PRIORITY_ONLY_NO_TRADE_AUTHORITY,5db36685e63b7826d0e19e85f841b67f6ee7ae51e4808c14d4ae7bd05d304bf5,2026-07-10
2026-07-10,3,A_IMMEDIATE_RESEARCH,002185.SZ,华天科技,SZ,SZ_MAIN,ACTIVE,C 制造业,LIQUID_BREAKOUT,LIQUID_BREAKOUT,1,1,1.0,0.94697945,0.98409383,0.0,0.98409383,WITHIN_SLEEVE_RANK_PERCENTILE_PLUS_RAW_SCORE,ELIGIBLE_CORE,VALID,A,0,10093889730.25,0.5110447761194028,1.0510534846029174,1.200869565217391,1.8925714285714283,0.0,0.7391584080267765,-0.25230566534914367,b5723e10d3e323fd5ac32f2bb481509177f0f1afe6253ddabc3572c1224b79f8,PUBLIC_EQUITY_INVESTING_IDEA_GENERATION,RESEARCH_PRIORITY_ONLY_NO_TRADE_AUTHORITY,577d9ca58417fcc04c3cb5cfa0700fe38059662d7c4d519be90978a1df4fc725,2026-07-10
2026-07-10,4,A_IMMEDIATE_RESEARCH,301369.SZ,联动科技,SZ,CHINEXT,ACTIVE,C 制造业,TREND_PERSISTENCE,TREND_PERSISTENCE,1,2,0.975,0.97309608,0.97442883,0.0,0.97442883,WITHIN_SLEEVE_RANK_PERCENTILE_PLUS_RAW_SCORE,ELIGIBLE_CORE,VALID,A,0,640044423.15,0.20655076570930286,1.049527865210146,1.2517290480065095,4.991610284167794,-0.09636734693877558,0.7430862281778723,-0.18690355329949238,64e0a3b5a30224522f55b4417186a914b4e4e09315a87278f13d73e95254103d,PUBLIC_EQUITY_INVESTING_IDEA_GENERATION,RESEARCH_PRIORITY_ONLY_NO_TRADE_AUTHORITY,ba8f43f3edbeef9c695b9fff8cc097f48e7cd04be36b167d74140ef6b9215bd1,2026-07-10
2026-07-10,5,A_IMMEDIATE_RESEARCH,002936.SZ,郑州银行,SZ,SZ_MAIN,ACTIVE,J 金融业,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY,1,2,0.975,0.9462648,0.96637944,0.0,0.96637944,WITHIN_SLEEVE_RANK_PERCENTILE_PLUS_RAW_SCORE,ELIGIBLE_CORE,VALID,A,0,126556379.35,-0.034285714285714364,-0.07142857142857151,-0.12886597938144329,-0.17156862745098045,-0.2522123893805309,0.159086463285021,-0.15816326530612246,a3760017033eda3cf95fa08ba0f3e93073292595e4e2556114eda08baf7c7c92,PUBLIC_EQUITY_INVESTING_IDEA_GENERATION,RESEARCH_PRIORITY_ONLY_NO_TRADE_AUTHORITY,692d6acc418959b314f0fb16107c096e8c35dc0d5a2a61b96e57e26be20ae13b,2026-07-10
2026-07-10,6,A_IMMEDIATE_RESEARCH,600584.SH,长电科技,SH,SH_MAIN,ACTIVE,,LIQUID_BREAKOUT,LIQUID_BREAKOUT,1,2,0.975,0.94346475,0.96553942,0.0,0.96553942,WITHIN_SLEEVE_RANK_PERCENTILE_PLUS_RAW_SCORE,ELIGIBLE_CORE,VALID,A,0,21163560054.3,0.40684569361346856,1.3623831775700936,1.5965588084232154,2.006541778174249,-0.05185671417854465,0.8350265751499473,-0.2721217887725975,dcd67dd82fc2e3c5061c65b8644c84d03ad57f5bffba4ce94c432cb168c6939f,PUBLIC_EQUITY_INVESTING_IDEA_GENERATION,RESEARCH_PRIORITY_ONLY_NO_TRADE_AUTHORITY,f9dd3f2e5d3a64a50d6dd0236d475667aa93ce8bb6b1efba0d953f75d641d7f2,2026-07-10
2026-07-10,7,A_IMMEDIATE_RESEARCH,603928.SH,兴业股份,SH,SH_MAIN,ACTIVE,,RECOVERY_WATCH,RECOVERY_WATCH,1,1,1.0,0.88283573,0.96485072,0.0,0.96485072,WITHIN_SLEEVE_RANK_PERCENTILE_PLUS_RAW_SCORE,ELIGIBLE_CORE,VALID,A,0,469724443.95,0.6404886561954624,0.654929577464789,0.40718562874251507,0.25083166999334683,0.0,0.6708542327462497,-0.2174236783320923,9f82efdfe1553ec2e86d05650eddf15748f28d2a2d83e2d74dc9445d5897b7cb,PUBLIC_EQUITY_INVESTING_IDEA_GENERATION,RESEARCH_PRIORITY_ONLY_NO_TRADE_AUTHORITY,8512d12da66084113b6cebdea6b3365b4cde7a937645496c530ac37a8e652575,2026-07-10
2026-07-10,8,A_IMMEDIATE_RESEARCH,000668.SZ,荣丰控股,SZ,SZ_MAIN,ACTIVE,K 房地产,TREND_PERSISTENCE,TREND_PERSISTENCE,1,3,0.95,0.9620714,0.95362142,0.0,0.95362142,WITHIN_SLEEVE_RANK_PERCENTILE_PLUS_RAW_SCORE,ELIGIBLE_CORE,VALID,A,0,98822908.85,0.09242871189773849,0.5208761122518824,0.9821587867975019,1.6642685851318944,-0.044711951848667386,0.5954160521242169,-0.1911481719050674,28cd753562eaaf3bbc2ae553e239f75d28f621a6ed5e7699c922a2b3f836d16a,PUBLIC_EQUITY_INVESTING_IDEA_GENERATION,RESEARCH_PRIORITY_ONLY_NO_TRADE_AUTHORITY,fe70be52ce41589401878e183581029c0ca5bc04ab5964c807bd1577e5353cb0,2026-07-10
2026-07-10,9,A_IMMEDIATE_RESEARCH,000538.SZ,云南白药,SZ,SZ_MAIN,ACTIVE,C 制造业,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY,1,3,0.95,0.94344486,0.94803346,0.0,0.94803346,WITHIN_SLEEVE_RANK_PERCENTILE_PLUS_RAW_SCORE,ELIGIBLE_CORE,VALID,A,0,458814908.15,-0.03422354104846681,-0.0812946932630787,-0.12115211521152114,-0.08267568583239382,-0.1505133112928484,0.16754490647106396,-0.15573917729477282,08cde3017fda202335d7302745bfd105c8b25da6380a7d49c9d888f138046417,PUBLIC_EQUITY_INVESTING_IDEA_GENERATION,RESEARCH_PRIORITY_ONLY_NO_TRADE_AUTHORITY,5980a5de2d16d2a3387282a0e549696de66030ab62a504325a872ae33f3f9d61,2026-07-10
2026-07-10,10,A_IMMEDIATE_RESEARCH,600206.SH,有研新材,SH,SH_MAIN,ACTIVE,,LIQUID_BREAKOUT,LIQUID_BREAKOUT,1,3,0.95,0.9420634,0.94761902,0.0,0.94761902,WITHIN_SLEEVE_RANK_PERCENTILE_PLUS_RAW_SCORE,ELIGIBLE_CORE,VALID,A,0,7013759928.75,0.7523364485981308,1.6607538802660753,1.7662517289073305,2.151260504201681,-0.09909909909909898,0.8494056470370442,-0.2646831530139103,4e5082d2476dd272472144f1cf9c4c31b60da31aa2ccda59d6394a6378d732a9,PUBLIC_EQUITY_INVESTING_IDEA_GENERATION,RESEARCH_PRIORITY_ONLY_NO_TRADE_AUTHORITY,0455ead01c0b7de920eed649220c07a449c64d29184de321c559ac6fa9864c39,2026-07-10
