previous_date,current_date,symbol,name,previous_rank,current_rank,rank_change,previous_priority,current_priority,previous_primary_sleeve,current_primary_sleeve
2026-07-10,2026-07-13,000001.SZ,平安银行,61,61,0,C_SCREEN_FLAG_ONLY,C_SCREEN_FLAG_ONLY,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY
2026-07-10,2026-07-13,000021.SZ,深科技,17,29,-12,A_IMMEDIATE_RESEARCH,B_WATCH_OR_TRIGGER,LIQUID_BREAKOUT,LIQUID_BREAKOUT
2026-07-10,2026-07-13,000032.SZ,深桑达Ａ,16,66,-50,A_IMMEDIATE_RESEARCH,C_SCREEN_FLAG_ONLY,RECOVERY_WATCH,RECOVERY_WATCH
2026-07-10,2026-07-13,000034.SZ,神州数码,37,40,-3,B_WATCH_OR_TRIGGER,B_WATCH_OR_TRIGGER,RECOVERY_WATCH,RECOVERY_WATCH
2026-07-10,2026-07-13,000088.SZ,盐 田 港,47,39,8,B_WATCH_OR_TRIGGER,B_WATCH_OR_TRIGGER,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY
2026-07-10,2026-07-13,000333.SZ,美的集团,75,76,-1,C_SCREEN_FLAG_ONLY,C_SCREEN_FLAG_ONLY,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY
2026-07-10,2026-07-13,000538.SZ,云南白药,9,15,-6,A_IMMEDIATE_RESEARCH,A_IMMEDIATE_RESEARCH,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY
2026-07-10,2026-07-13,000598.SZ,兴蓉环境,32,28,4,B_WATCH_OR_TRIGGER,B_WATCH_OR_TRIGGER,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY
2026-07-10,2026-07-13,000668.SZ,荣丰控股,8,27,-19,A_IMMEDIATE_RESEARCH,B_WATCH_OR_TRIGGER,TREND_PERSISTENCE,TREND_PERSISTENCE
2026-07-10,2026-07-13,000779.SZ,甘咨询,86,81,5,C_SCREEN_FLAG_ONLY,C_SCREEN_FLAG_ONLY,RECOVERY_WATCH,RECOVERY_WATCH
2026-07-10,2026-07-13,000938.SZ,紫光股份,33,16,17,B_WATCH_OR_TRIGGER,A_IMMEDIATE_RESEARCH,LIQUID_BREAKOUT,LIQUID_BREAKOUT
2026-07-10,2026-07-13,000977.SZ,浪潮信息,69,58,11,C_SCREEN_FLAG_ONLY,B_WATCH_OR_TRIGGER,LIQUID_BREAKOUT,LIQUID_BREAKOUT
2026-07-10,2026-07-13,001227.SZ,兰州银行,29,32,-3,B_WATCH_OR_TRIGGER,B_WATCH_OR_TRIGGER,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY
2026-07-10,2026-07-13,002142.SZ,宁波银行,18,57,-39,A_IMMEDIATE_RESEARCH,B_WATCH_OR_TRIGGER,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY
2026-07-10,2026-07-13,002174.SZ,游族网络,41,37,4,B_WATCH_OR_TRIGGER,B_WATCH_OR_TRIGGER,RECOVERY_WATCH,RECOVERY_WATCH
2026-07-10,2026-07-13,002185.SZ,华天科技,3,3,0,A_IMMEDIATE_RESEARCH,A_IMMEDIATE_RESEARCH,LIQUID_BREAKOUT,LIQUID_BREAKOUT
2026-07-10,2026-07-13,002371.SZ,北方华创,19,30,-11,A_IMMEDIATE_RESEARCH,B_WATCH_OR_TRIGGER,TREND_PERSISTENCE,TREND_PERSISTENCE
2026-07-10,2026-07-13,002409.SZ,雅克科技,24,47,-23,B_WATCH_OR_TRIGGER,B_WATCH_OR_TRIGGER,LIQUID_BREAKOUT,LIQUID_BREAKOUT
2026-07-10,2026-07-13,002507.SZ,涪陵榨菜,35,35,0,B_WATCH_OR_TRIGGER,B_WATCH_OR_TRIGGER,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY
2026-07-10,2026-07-13,002674.SZ,兴业科技,90,62,28,C_SCREEN_FLAG_ONLY,C_SCREEN_FLAG_ONLY,LIQUID_BREAKOUT,LIQUID_BREAKOUT
2026-07-10,2026-07-13,002718.SZ,友邦吊顶,13,14,-1,A_IMMEDIATE_RESEARCH,A_IMMEDIATE_RESEARCH,TREND_PERSISTENCE,TREND_PERSISTENCE
2026-07-10,2026-07-13,002745.SZ,木林森,84,99,-15,C_SCREEN_FLAG_ONLY,C_SCREEN_FLAG_ONLY,LIQUID_BREAKOUT,LIQUID_BREAKOUT
2026-07-10,2026-07-13,002768.SZ,国恩股份,12,8,4,A_IMMEDIATE_RESEARCH,A_IMMEDIATE_RESEARCH,TREND_PERSISTENCE,TREND_PERSISTENCE
2026-07-10,2026-07-13,002839.SZ,张家港行,83,98,-15,C_SCREEN_FLAG_ONLY,C_SCREEN_FLAG_ONLY,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY
2026-07-10,2026-07-13,002936.SZ,郑州银行,5,4,1,A_IMMEDIATE_RESEARCH,A_IMMEDIATE_RESEARCH,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY
2026-07-10,2026-07-13,002937.SZ,兴瑞科技,23,41,-18,B_WATCH_OR_TRIGGER,B_WATCH_OR_TRIGGER,TREND_PERSISTENCE,TREND_PERSISTENCE
2026-07-10,2026-07-13,300201.SZ,海伦哲,57,56,1,B_WATCH_OR_TRIGGER,B_WATCH_OR_TRIGGER,TREND_PERSISTENCE,TREND_PERSISTENCE
2026-07-10,2026-07-13,300308.SZ,中际旭创,92,23,69,C_SCREEN_FLAG_ONLY,B_WATCH_OR_TRIGGER,TREND_PERSISTENCE,TREND_PERSISTENCE
2026-07-10,2026-07-13,300331.SZ,苏大维格,42,67,-25,B_WATCH_OR_TRIGGER,C_SCREEN_FLAG_ONLY,TREND_PERSISTENCE,TREND_PERSISTENCE
