previous_date,current_date,sleeve_id,previous_members,current_members,common_members,jaccard
2026-07-10,2026-07-13,TREND_PERSISTENCE,40,40,28,0.5384615384615384
2026-07-10,2026-07-13,LIQUID_BREAKOUT,40,40,29,0.5686274509803921
2026-07-10,2026-07-13,DEFENSIVE_STABILITY,40,40,36,0.8181818181818182
2026-07-10,2026-07-13,RECOVERY_WATCH,30,30,23,0.6216216216216216
2026-07-13,2026-07-14,TREND_PERSISTENCE,40,40,27,0.5094339622641509
2026-07-13,2026-07-14,LIQUID_BREAKOUT,40,40,31,0.6326530612244898
2026-07-13,2026-07-14,DEFENSIVE_STABILITY,40,40,39,0.9512195121951219
2026-07-13,2026-07-14,RECOVERY_WATCH,30,30,23,0.6216216216216216
2026-07-14,2026-07-15,TREND_PERSISTENCE,40,40,30,0.6
2026-07-14,2026-07-15,LIQUID_BREAKOUT,40,40,29,0.5686274509803921
2026-07-14,2026-07-15,DEFENSIVE_STABILITY,40,40,37,0.8604651162790697
2026-07-14,2026-07-15,RECOVERY_WATCH,30,30,24,0.6666666666666666
2026-07-15,2026-07-16,TREND_PERSISTENCE,40,40,30,0.6
2026-07-15,2026-07-16,LIQUID_BREAKOUT,40,40,30,0.6
2026-07-15,2026-07-16,DEFENSIVE_STABILITY,40,40,38,0.9047619047619048
2026-07-15,2026-07-16,RECOVERY_WATCH,30,30,23,0.6216216216216216
2026-07-16,2026-07-17,TREND_PERSISTENCE,40,40,25,0.45454545454545453
2026-07-16,2026-07-17,LIQUID_BREAKOUT,40,40,28,0.5384615384615384
2026-07-16,2026-07-17,DEFENSIVE_STABILITY,40,40,37,0.8604651162790697
2026-07-16,2026-07-17,RECOVERY_WATCH,30,30,19,0.4634146341463415
