symbol,name,sector_profile,board,market_as_of_date,market_cutoff_timestamp,close,share_effective_date,total_shares,float_a_shares,total_market_cap_cny,float_market_cap_cny,capitalization_state,price_source_id,share_source_id,capitalization_source_id,warning_codes,source_release_id,lineage_id,authority,trade_authority
000001.SZ,平安银行,BANK,SZ_MAIN,2026-07-17,2026-07-17T17:40:15+08:00,10.78,2025-06-30,19405918198.0,19405600653.0,209195798174.44,209192375039.34,VALID,FMDL1_ACCEPTED_CURRENT_PRICE,EASTMONEY_EFFECTIVE_SHARE_CAPITAL,COMPOSITE_CURRENT_CAPITALIZATION,NONE,FMDL3A_20260718T011233+0800,9542eb076d35592cc9dfc7cc47dfc7ce7612198f3b59836737bb364fd48bf064,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000333.SZ,美的集团,GENERAL_NON_FINANCIAL,SZ_MAIN,2026-07-17,2026-07-17T17:40:15+08:00,82.71,2026-07-17,7621725806.0,6873386394.0,630392941414.26,568497788647.74,VALID,FMDL1_ACCEPTED_CURRENT_PRICE,EASTMONEY_EFFECTIVE_SHARE_CAPITAL,COMPOSITE_CURRENT_CAPITALIZATION,NONE,FMDL3A_20260718T011233+0800,2c3f058fd4dccc28b3e8f7b2270b78362f4de45a1e960461b253a3b8e504f760,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000776.SZ,广发证券,SECURITIES_AND_BROKERAGE,SZ_MAIN,2026-07-17,2026-07-17T17:40:15+08:00,21.6,2026-01-14,7824845511.0,5904049311.0,169016663037.6,127527465117.6,VALID,FMDL1_ACCEPTED_CURRENT_PRICE,EASTMONEY_EFFECTIVE_SHARE_CAPITAL,COMPOSITE_CURRENT_CAPITALIZATION,NONE,FMDL3A_20260718T011233+0800,46b3b354827f124e09696346e7c7c4eef5d4b19a614d2bece8e891141ba1b6d5,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
300750.SZ,宁德时代,GENERAL_NON_FINANCIAL,CHINEXT,2026-07-17,2026-07-17T17:40:15+08:00,360.0,2026-06-30,4626650861.0,4257035731.0,1665594309960.0,1532532863160.0,VALID,FMDL1_ACCEPTED_CURRENT_PRICE,EASTMONEY_EFFECTIVE_SHARE_CAPITAL,COMPOSITE_CURRENT_CAPITALIZATION,NONE,FMDL3A_20260718T011233+0800,ec1a322c1de04c1d9e3dc91ee1fe96eecb1f3b9cc85bc69abb5f614c0204da71,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
430047.BJ,诺思兰德,PRE_PROFIT_OR_NEGATIVE_EARNINGS,BSE,,,,,,,,,CONTROLLED_QUARANTINE,,,,CONTROLLED_BSE_OR_SOURCE_QUARANTINE,FMDL3A_20260718T011233+0800,2ba7b07aea0094c077839e2eb278e8eda63768d1ec83acfee55c572ff0f1d382,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
600030.SH,中信证券,SECURITIES_AND_BROKERAGE,SH_MAIN,2026-07-17,2026-07-17T17:40:15+08:00,27.6,2024-09-11,14820546829.0,12176550974.0,409047092480.4,336072806882.4,VALID,FMDL1_ACCEPTED_CURRENT_PRICE,EASTMONEY_EFFECTIVE_SHARE_CAPITAL,COMPOSITE_CURRENT_CAPITALIZATION,NONE,FMDL3A_20260718T011233+0800,195fbeda0bc3d5b5244d59134e09f9241b5ef880b15bc752507d36aacc53167d,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
600036.SH,招商银行,BANK,SH_MAIN,2026-07-17,2026-07-17T17:40:15+08:00,38.02,2013-10-02,25219845601.0,20628944429.0,958858529750.02,784312467190.5801,VALID,FMDL1_ACCEPTED_CURRENT_PRICE,EASTMONEY_EFFECTIVE_SHARE_CAPITAL,COMPOSITE_CURRENT_CAPITALIZATION,NONE,FMDL3A_20260718T011233+0800,e1b0ef01ffd11546ec42abee0c43c0aef1052eb287220afe273429d291421bea,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
600519.SH,贵州茅台,GENERAL_NON_FINANCIAL,SH_MAIN,2026-07-17,2026-07-17T17:40:15+08:00,1253.0,2026-05-28,1250081601.0,1250081601.0,1566352246053.0,1566352246053.0,VALID,FMDL1_ACCEPTED_CURRENT_PRICE,EASTMONEY_EFFECTIVE_SHARE_CAPITAL,COMPOSITE_CURRENT_CAPITALIZATION,NONE,FMDL3A_20260718T011233+0800,ccad3cb20c23fb92534ce554956ba26157e6c5672406dc92fa817211b5c8f393,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
601318.SH,中国平安,INSURANCE,SH_MAIN,2026-07-17,2026-07-17T17:40:15+08:00,50.7,2025-09-03,18107641995.0,10660065083.0,918057449146.5,540465299708.10004,VALID,FMDL1_ACCEPTED_CURRENT_PRICE,EASTMONEY_EFFECTIVE_SHARE_CAPITAL,COMPOSITE_CURRENT_CAPITALIZATION,NONE,FMDL3A_20260718T011233+0800,25cfb2dea1f0dfcace80fda5f587f6d4679e383d7843c5aef2d989050471e5e4,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
605090.SH,九丰能源,GENERAL_NON_FINANCIAL,SH_MAIN,2026-07-17,2026-07-17T17:40:15+08:00,38.2,2026-05-07,705916268.0,704526968.0,26966001437.600002,26912930177.600002,VALID,FMDL1_ACCEPTED_CURRENT_PRICE,EASTMONEY_EFFECTIVE_SHARE_CAPITAL,COMPOSITE_CURRENT_CAPITALIZATION,NONE,FMDL3A_20260718T011233+0800,5f7bba5ebb400375b8992f6fb99a79bb051a0cce17ff11345738697f3eb591d8,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
688256.SH,寒武纪,PRE_PROFIT_OR_NEGATIVE_EARNINGS,STAR,2026-07-17,2026-07-17T17:40:15+08:00,1190.58,2026-05-08,628292969.0,628292969.0,748033043032.0199,748033043032.0199,VALID,FMDL1_ACCEPTED_CURRENT_PRICE,EASTMONEY_EFFECTIVE_SHARE_CAPITAL,COMPOSITE_CURRENT_CAPITALIZATION,NONE,FMDL3A_20260718T011233+0800,b813c0811b4adb308f4968794690c38c17bfdf6c61c524de555ee403dd3137fd,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
