symbol,name,profile,board,extended,statement_status,selected_structured_source_id,structured_bundle_success,official_document_source_available,parsed_official_periodic_filing_count,status_reason,run_id,authority,trade_authority
600519.SH,贵州茅台,GENERAL_NON_FINANCIAL,SH_MAIN,True,SUPPORTED,EASTMONEY_STATEMENTS,True,True,10,STRUCTURED_THREE_STATEMENT_BUNDLE_ACCEPTED,FMDL3A_20260718T011233+0800,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
605090.SH,九丰能源,GENERAL_NON_FINANCIAL,SH_MAIN,True,SUPPORTED,EASTMONEY_STATEMENTS,True,True,11,STRUCTURED_THREE_STATEMENT_BUNDLE_ACCEPTED,FMDL3A_20260718T011233+0800,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000333.SZ,美的集团,GENERAL_NON_FINANCIAL,SZ_MAIN,True,SUPPORTED,EASTMONEY_STATEMENTS,True,True,12,STRUCTURED_THREE_STATEMENT_BUNDLE_ACCEPTED,FMDL3A_20260718T011233+0800,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
300750.SZ,宁德时代,GENERAL_NON_FINANCIAL,CHINEXT,True,SUPPORTED,EASTMONEY_STATEMENTS,True,True,11,STRUCTURED_THREE_STATEMENT_BUNDLE_ACCEPTED,FMDL3A_20260718T011233+0800,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
688981.SH,中芯国际,GENERAL_NON_FINANCIAL,STAR,True,SUPPORTED,EASTMONEY_STATEMENTS,True,True,12,STRUCTURED_THREE_STATEMENT_BUNDLE_ACCEPTED,FMDL3A_20260718T011233+0800,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
835185.BJ,贝特瑞,GENERAL_NON_FINANCIAL,BSE,True,QUARANTINED,EASTMONEY_BSE_PERIODIC_STATEMENTS,False,True,13,BSE_STRUCTURED_STATEMENT_ROUTE_UNAVAILABLE; OFFICIAL_CNINFO_DOCUMENT_EXTRACTION_REQUIRED_IN_FMDL3B,FMDL3A_20260718T011233+0800,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000001.SZ,平安银行,BANK,SZ_MAIN,True,SUPPORTED,EASTMONEY_STATEMENTS,True,True,13,STRUCTURED_THREE_STATEMENT_BUNDLE_ACCEPTED,FMDL3A_20260718T011233+0800,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
600036.SH,招商银行,BANK,SH_MAIN,False,SUPPORTED,EASTMONEY_STATEMENTS,True,True,10,STRUCTURED_THREE_STATEMENT_BUNDLE_ACCEPTED,FMDL3A_20260718T011233+0800,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
601318.SH,中国平安,INSURANCE,SH_MAIN,True,SUPPORTED,EASTMONEY_STATEMENTS,True,True,20,STRUCTURED_THREE_STATEMENT_BUNDLE_ACCEPTED,FMDL3A_20260718T011233+0800,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
600030.SH,中信证券,SECURITIES_AND_BROKERAGE,SH_MAIN,True,SUPPORTED,EASTMONEY_STATEMENTS,True,True,11,STRUCTURED_THREE_STATEMENT_BUNDLE_ACCEPTED,FMDL3A_20260718T011233+0800,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
000776.SZ,广发证券,SECURITIES_AND_BROKERAGE,SZ_MAIN,False,SUPPORTED,EASTMONEY_STATEMENTS,True,True,12,STRUCTURED_THREE_STATEMENT_BUNDLE_ACCEPTED,FMDL3A_20260718T011233+0800,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
688256.SH,寒武纪,PRE_PROFIT_OR_NEGATIVE_EARNINGS,STAR,True,SUPPORTED,EASTMONEY_STATEMENTS,True,True,10,STRUCTURED_THREE_STATEMENT_BUNDLE_ACCEPTED,FMDL3A_20260718T011233+0800,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
430047.BJ,诺思兰德,PRE_PROFIT_OR_NEGATIVE_EARNINGS,BSE,False,QUARANTINED,EASTMONEY_BSE_PERIODIC_STATEMENTS,False,True,14,BSE_STRUCTURED_STATEMENT_ROUTE_UNAVAILABLE; OFFICIAL_CNINFO_DOCUMENT_EXTRACTION_REQUIRED_IN_FMDL3B,FMDL3A_20260718T011233+0800,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
